1 	Ardent Plea 	Enchantment 	1WU 	Uncommon 	Chippy 	English Alara Reborn
2 	Aven Mimeomancer 	Creature - Bird Wizard 3/1 	1WU 	Rare 	Jesper Ejsing 	English Alara Reborn
3 	Ethercaste Knight 	Artifact Creature - Human Knight 1/3 	WU 	Common 	Steven Belledin 	English Alara Reborn
4 	Ethersworn Shieldmage 	Artifact Creature - Vedalken Wizard 2/2 	1WU 	Common 	Daarken 	English Alara Reborn
5 	Fieldmist Borderpost 	Artifact 	1WU 	Common 	Michael Bruinsma 	English Alara Reborn
6 	Filigree Angel 	Artifact Creature - Angel 4/4 	5WWU 	Rare 	Richard Whitters 	English Alara Reborn
7 	Glassdust Hulk 	Artifact Creature - Golem 3/4 	3WU 	Common 	Franz Vohwinkel 	English Alara Reborn
8 	Meddling Mage 	Creature - Human Wizard 2/2 	WU 	Rare 	Todd Lockwood 	English Alara Reborn
9 	Offering to Asha 	Instant 	2WU 	Common 	Daarken 	English Alara Reborn
10 	Sanctum Plowbeast 	Artifact Creature - Beast 3/6 	4WU 	Common 	Anthony Francisco 	English Alara Reborn
11 	Shield of the Righteous 	Artifact - Equipment 	WU 	Uncommon 	David Palumbo 	English Alara Reborn
12 	Sovereigns of Lost Alara 	Creature - Spirit 4/5 	4WU 	Rare 	Donato Giancola 	English Alara Reborn
13 	Stormcaller's Boon 	Enchantment 	2WU 	Common 	Brandon Kitkouski 	English Alara Reborn
14 	Talon Trooper 	Creature - Bird Scout 2/3 	1WU 	Common 	Matt Stewart 	English Alara Reborn
15 	Unbender Tine 	Artifact 	2WU 	Uncommon 	Greg Hildebrandt 	English Alara Reborn
16 	Wall of Denial 	Creature - Wall 0/8 	1WU 	Uncommon 	Howard Lyon 	English Alara Reborn
17 	Architects of Will 	Artifact Creature - Human Wizard 3/3 	2UB 	Common 	Matt Stewart 	English Alara Reborn
18 	Brainbite 	Sorcery 	2UB 	Common 	Mark Hyzer 	English Alara Reborn
19 	Deny Reality 	Sorcery 	3UB 	Common 	Jean-Séstien Rossbach 	English Alara Reborn
20 	Etherium Abomination 	Artifact Creature - Horror 4/3 	3UB 	Common 	Mitch Cotie 	English Alara Reborn
21 	Illusory Demon 	Creature - Demon Illusion 4/3 	1UB 	Uncommon 	Nils Hamm 	English Alara Reborn
22 	Jhessian Zombies 	Creature - Zombie 2/4 	4UB 	Common 	Ash Wood 	English Alara Reborn
23 	Kathari Remnant 	Creature - Bird Skeleton 0/1 	2UB 	Uncommon 	Anthony S. Waters 	English Alara Reborn
24 	Lich Lord of Unx 	Creature - Zombie Wizard 2/2 	1UB 	Rare 	Dave Allsop 	English Alara Reborn
