1 	Balduvian Dead 	Summon Zombies 2/3 	3B 	Uncommon 	Mike Kimble 	English Alliances
2 	Casting of Bones 	Enchant Creature 	2B 	Common 	Anson Maddocks 	English Alliances
3 	Casting of Bones 	Enchant Creature 	2B 	Common 	Anson Maddocks 	English Alliances
4 	Contagion 	Instant 	3BB 	Uncommon 	Mike Raabe 	English Alliances
5 	Diseased Vermin 	Summon Rats 1/1 	2B 	Uncommon 	Scott Kirschner 	English Alliances
6 	Dystopia 	Enchantment 	1BB 	Rare 	Ruth Thompson 	English Alliances
7 	Fatal Lore 	Sorcery 	2BB 	Rare 	Lawrence Snelly 	English Alliances
8 	Feast or Famine 	Instant 	3B 	Common 	Pete Venters 	English Alliances
9 	Feast or Famine 	Instant 	3B 	Common 	Pete Venters 	English Alliances
10 	Fevered Strength 	Instant 	2B 	Common 	Brian Snõ 	English Alliances
11 	Fevered Strength 	Instant 	2B 	Common 	Brian Snõ 	English Alliances
12 	Insidious Bookworms 	Summon Worms 1/1 	B 	Common 	Greg Simanson 	English Alliances
13 	Insidious Bookworms 	Summon Worms 1/1 	B 	Common 	Greg Simanson 	English Alliances
14 	Keeper of Tresserhorn 	Summon Keeper 6/6 	5B 	Rare 	Z. Plucinski & D.A. Gregory 	English Alliances
15 	Krovikan Horror 	Summon Horror 2/2 	3B 	Rare 	Christopher Rush 	English Alliances
16 	Krovikan Plague 	Enchant Creature 	2B 	Uncommon 	Liz Danforth 	English Alliances
17 	Lim-DûHigh Guard 	Summon Skeleton 2/1 	1BB 	Common 	Anson Maddocks 	English Alliances
18 	Lim-DûHigh Guard 	Summon Skeleton 2/1 	1BB 	Common 	Anson Maddocks 	English Alliances
19 	Misinformation 	Instant 	B 	Uncommon 	Richard Kane Ferguson 	English Alliances
20 	Phantasmal Fiend 	Summon Phantasm 1/5 	3B 	Common 	Scott Kirschner 	English Alliances
21 	Phantasmal Fiend 	Summon Phantasm 1/5 	3B 	Common 	Scott Kirschner 	English Alliances
22 	Phyrexian Boon 	Enchant Creature 	2B 	Common 	Mark Tedin 	English Alliances
23 	Phyrexian Boon 	Enchant Creature 	2B 	Common 	Mark Tedin 	English Alliances
24 	Ritual of the Machine 	Sorcery 	2BB 	Rare 	Anson Maddocks 	English Alliances
25 	Soldevi Adnate 	Summon Cleric 1/2 	1B 	Common 	Christopher Rush 	English Alliances
26 	Soldevi Adnate 	Summon Cleric 1/2 	1B 	Common 	Christopher Rush 	English Alliances
27 	Stench of Decay 	Instant 	1BB 	Common 	Heather Hudson 	English Alliances
28 	Stench of Decay 	Instant 	1BB 	Common 	Heather Hudson 	English Alliances
29 	Stromgald Spy 	Summon Spy 2/4 	3B 	Uncommon 	Zak Plucinski 	English Alliances
30 	Swamp Mosquito 	Summon Mosquito 0/1 	1B 	Common 	Nicola Leonard 	English Alliances
31 	Swamp Mosquito 	Summon Mosquito 0/1 	1B 	Common 	Nicola Leonard 	English Alliances
32 	Arcane Denial 	Interrupt 	1U 	Common 	Richard Kane Ferguson 	English Alliances
33 	Arcane Denial 	Interrupt 	1U 	Common 	Richard Kane Ferguson 	English Alliances
34 	Awesome Presence 	Enchant Creature 	U 	Common 	Lawrence Snelly 	English Alliances
35 	Awesome Presence 	Enchant Creature 	U 	Common 	Lawrence Snelly 	English Alliances
36 	Benthic Explorers 	Summon Merfolk 2/4 	3U 	Common 	Greg Simanson 	English Alliances
37 	Benthic Explorers 	Summon Merfolk 2/4 	3U 	Common 	Greg Simanson 	English Alliances
38 	Browse 	Enchantment 	2UU 	Uncommon 	Phil Foglio 	English Alliances
39 	Diminishing Returns 	Sorcery 	2UU 	Rare 	L. A. Williams 	English Alliances
40 	False Demise 	Enchant Creature 	2U 	Common 	Randy Gallegos 	English Alliances
41 	False Demise 	Enchant Creature 	2U 	Common 	Randy Gallegos 	English Alliances
42 	Force of Will 	Interrupt 	3UU 	Uncommon 	Terese Nielsen 	English Alliances
43 	Foresight 	Sorcery 	1U 	Common 	Terese Nielsen 	English Alliances
44 	Foresight 	Sorcery 	1U 	Common 	Terese Nielsen 	English Alliances
45 	Lat-Nam's Legacy 	Instant 	1U 	Common 	Tom Wärstrand 	English Alliances
46 	Lat-Nam's Legacy 	Instant 	1U 	Common 	Tom Wärstrand 	English Alliances
47 	Library of Lat-Nam 	Sorcery 	4U 	Rare 	Alan Rabinowitz 	English Alliances
48 	Phantasmal Sphere 	Summon Phantasm 0/1 	1U 	Rare 	Mark Tedin 	English Alliances
49 	Soldevi Heretic 	Summon Heretic 2/2 	2U 	Common 	Mike Kimble 	English Alliances
50 	Soldevi Heretic 	Summon Heretic 2/2 	2U 	Common 	Mike Kimble 	English Alliances
51 	Soldevi Sage 	Summon Wizard 1/1 	1U 	Common 	Carol Heyer 	English Alliances
52 	Soldevi Sage 	Summon Wizard 1/1 	1U 	Common 	Carol Heyer 	English Alliances
53 	Spiny Starfish 	Summon Starfish 0/1 	2U 	Uncommon 	Alan Rabinowitz 	English Alliances
54 	Storm Crow 	Summon Bird 1/2 	1U 	Common 	Sandra Everingham 	English Alliances
55 	Storm Crow 	Summon Bird 1/2 	1U 	Common 	Sandra Everingham 	English Alliances
56 	Storm Elemental 	Summon Elemental 3/4 	5U 	Uncommon 	John Matson 	English Alliances
57 	Suffocation 	Instant 	1U 	Uncommon 	L. A. Williams 	English Alliances
58 	Thought Lash 	Enchantment 	2UU 	Rare 	Mark Tedin 	English Alliances
59 	Tidal Control 	Enchantment 	1UU 	Rare 	Randy Gallegos 	English Alliances
60 	Viscerid Armor 	Enchant Creature 	1U 	Common 	Heather Hudson 	English Alliances
61 	Viscerid Armor 	Enchant Creature 	1U 	Common 	Heather Hudson 	English Alliances
62 	Viscerid Drone 	Summon Homarid 1/2 	1U 	Uncommon 	Heather Hudson 	English Alliances
63 	Bounty of the Hunt 	Instant 	3GG 	Uncommon 	Jeff A. Menges 	English Alliances
64 	Deadly Insect 	Summon Insect 6/1 	4G 	Common 	Scott Kirschner 	English Alliances
65 	Deadly Insect 	Summon Insect 6/1 	4G 	Common 	Scott Kirschner 	English Alliances
66 	Elvish Bard 	Summon Elf 2/4 	3GG 	Uncommon 	Susan Van Camp 	English Alliances
67 	Elvish Ranger 	Summon Elf 4/1 	2G 	Common 	Terese Nielsen 	English Alliances
68 	Elvish Ranger 	Summon Elf 4/1 	2G 	Common 	Terese Nielsen 	English Alliances
69 	Elvish Spirit Guide 	Summon Spirit 2/2 	2G 	Uncommon 	Julie Baroh 	English Alliances
70 	Fyndhorn Druid 	Summon Druid 2/2 	2G 	Common 	Rob Alexander 	English Alliances
71 	Fyndhorn Druid 	Summon Druid 2/2 	2G 	Common 	Rob Alexander 	English Alliances
72 	Gargantuan Gorilla 	Summon Gorilla 7/7 	4GGG 	Rare 	Greg Simanson 	English Alliances
73 	Gift of the Woods 	Enchant Creature 	G 	Common 	Susan Van Camp 	English Alliances
74 	Gift of the Woods 	Enchant Creature 	G 	Common 	Susan Van Camp 	English Alliances
75 	Gorilla Berserkers 	Summon Gorillas 2/3 	3GG 	Common 	John Matson 	English Alliances
76 	Gorilla Berserkers 	Summon Gorillas 2/3 	3GG 	Common 	John Matson 	English Alliances
77 	Gorilla Chieftain 	Summon Gorilla 3/3 	2GG 	Common 	Quinton Hoover 	English Alliances
78 	Gorilla Chieftain 	Summon Gorilla 3/3 	2GG 	Common 	Quinton Hoover 	English Alliances
79 	Hail Storm 	Instant 	1GG 	Uncommon 	Jeff A. Menges 	English Alliances
80 	Kaysa 	Summon Legend 2/3 	3GG 	Rare 	Rebecca Guay 	English Alliances
81 	Nature's Chosen 	Enchant Creature 	G 	Uncommon 	Rebecca Guay 	English Alliances
82 	Nature's Wrath 	Enchantment 	4GG 	Rare 	Liz Danforth 	English Alliances
83 	Splintering Wind 	Enchantment 	2GG 	Rare 	Ron Spencer 	English Alliances
84 	Taste of Paradise 	Sorcery 	3G 	Common 	Lawrence Snelly 	English Alliances
85 	Taste of Paradise 	Sorcery 	3G 	Common 	Lawrence Snelly 	English Alliances
86 	Tornado 	Enchantment 	4G 	Rare 	Susan Van Camp 	English Alliances
87 	Undergrowth 	Instant 	G 	Common 	Pat Morrissey 	English Alliances
88 	Undergrowth 	Instant 	G 	Common 	Pat Morrissey 	English Alliances
89 	Whip Vine 	Summon Wall 1/4 	2G 	Common 	L. A. Williams 	English Alliances
90 	Whip Vine 	Summon Wall 1/4 	2G 	Common 	L. A. Williams 	English Alliances
91 	Yavimaya Ancients 	Summon Treefolk 2/7 	3GG 	Common 	Quinton Hoover 	English Alliances
92 	Yavimaya Ancients 	Summon Treefolk 2/7 	3GG 	Common 	Quinton Hoover 	English Alliances
93 	Yavimaya Ants 	Summon Swarm 5/1 	2GG 	Uncommon 	Pat Morrissey 	English Alliances
94 	Agent of Stromgald 	Summon Knight 1/1 	R 	Common 	Alan Rabinowitz 	English Alliances
95 	Agent of Stromgald 	Summon Knight 1/1 	R 	Common 	Alan Rabinowitz 	English Alliances
96 	Balduvian Horde 	Summon Barbarians 5/5 	2RR 	Rare 	Brian Snõ 	English Alliances
