1 	Amulet of Kroog 	Mono Artifact 	2 	Common (C4) 	Margaret Organ-Kean 	English Antiquities
2 	Armageddon Clock 	Continuous Artifact 	6 	Uncommon (U2) 	Amy Weber 	English Antiquities
3 	Ashnod's Altar 	Poly Artifact 	3 	Uncommon (U2) 	Anson Maddocks 	English Antiquities
4 	Ashnod's Battle Gear 	Mono Artifact 	2 	Uncommon (U2) 	Mark Poole 	English Antiquities
5 	Ashnod's Transmogrant 	Mono Artifact 	1 	Uncommon (U3) 	Mark Tedin 	English Antiquities
6 	Battering Ram 	Artifact Creature 1/1 	2 	Common (C4) 	Jeff A. Menges 	English Antiquities
7 	Bronze Tablet 	Mono Artifact 	6 	Rare (U1) 	Tom Wärstrand 	English Antiquities
8 	Candelabra of Tawnos 	Mono Artifact 	1 	Rare (U1) 	Douglas Shuler 	English Antiquities
9 	Clay Statue 	Artifact Creature 3/1 	4 	Common (C4) 	Jesper Myrfors 	English Antiquities
10 	Clockwork Avian 	Artifact Creature 0/4 	5 	Rare (U1) 	Randy Asplund-Faith 	English Antiquities
11 	Colossus of Sardia 	Artifact Creature 9/9 	9 	Rare (U1) 	Jesper Myrfors 	English Antiquities
12 	Coral Helm 	Poly Artifact 	3 	Rare (U1) 	Amy Weber 	English Antiquities
13 	Cursed Rack 	Continuous Artifact 	4 	Uncommon (C1) 	Richard Thomas 	English Antiquities
14 	Dragon Engine 	Artifact Creature 1/3 	3 	Common (C4) 	Anson Maddocks 	English Antiquities
15 	Feldon's Cane 	Mono Artifact 	1 	Uncommon (C1) 	Mark Tedin 	English Antiquities
16 	Golgothian Sylex 	Mono Artifact 	4 	Rare (U1) 	Kerstin Kaman 	English Antiquities
17 	Grapeshot Catapult 	Artifact Creature 2/3 	4 	Common (C4) 	Dan Frazier 	English Antiquities
18 	Ivory Tower 	Continuous Artifact 	1 	Uncommon (U3) 	Margaret Organ-Kean 	English Antiquities
19 	Jalum Tome 	Mono Artifact 	3 	Uncommon (U2) 	Tom Wärstrand 	English Antiquities
20 	Mightstone 	Continuous Artifact 	4 	Uncommon (U3) 	Pete Venters 	English Antiquities
21 	Millstone 	Mono Artifact 	2 	Uncommon (U3) 	Kaja Foglio 	English Antiquities
22 	Mishra's War Machine 	Artifact Creature 5/5 	7 	Rare (U1) 	Amy Weber 	English Antiquities
23 	Obelisk of Undoing 	Mono Artifact 	1 	Rare (U1) 	Tom Wärstrand 	English Antiquities
24 	Onulet 	Artifact Creature 2/2 	3 	Uncommon (U3) 	Anson Maddocks 	English Antiquities
25 	Ornithopter 	Artifact Creature 0/2 	0 	Common (C4) 	Amy Weber 	English Antiquities
26 	Primal Clay 	Artifact Creature */* 	4 	Uncommon (U3) 	Kaja Foglio 	English Antiquities
27 	Rakalite 	Poly Artifact 	6 	Uncommon (U3) 	Christopher Rush 	English Antiquities
28 	Rocket Launcher 	Poly Artifact 	4 	Uncommon (U3) 	Pete Venters 	English Antiquities
29 	Shapeshifter 	Artifact Creature */7-* 	6 	Rare (U3) 	Dan Frazier 	English Antiquities
30 	Staff of Zegon 	Mono Artifact 	4 	Common (U1) 	Mark Poole 	English Antiquities
31 	Su-Chi 	Artifact Creature 4/4 	4 	Uncommon (C4) 	Christopher Rush 	English Antiquities
32 	Tablet of Epityr 	Poly Artifact 	1 	Common (U3) 	Christopher Rush 	English Antiquities
33 	Tawnos's Coffin 	Mono Artifact 	4 	Rare (C4) 	Christopher Rush 	English Antiquities
34 	Tawnos's Wand 	Mono Artifact 	4 	Uncommon (U1) 	Douglas Shuler 	English Antiquities
35 	Tawnos's Weaponry 	Mono Artifact 	2 	Uncommon (U3) 	Dan Frazier 	English Antiquities
36 	Tetravus 	Artifact Creature 1/1 	6 	Rare (U3) 	Mark Tedin 	English Antiquities
37 	The Rack 	Continuous Artifact 	1 	Uncommon (U1) 	Richard Thomas 	English Antiquities
38 	Triskelion 	Artifact Creature 1/1 	6 	Rare (U1) 	Douglas Shuler 	English Antiquities
39 	Urza's Avenger 	Artifact Creature 4/4 	6 	Rare (U1) 	Amy Weber 	English Antiquities
40 	Urza's Chalice 	Poly Artifact 	1 	Common (C4) 	Jeff A. Menges 	English Antiquities
41 	Urza's Miter 	Poly Artifact 	3 	Rare (U1) 	Randy Asplund-Faith 	English Antiquities
42 	Wall of Spears 	Artifact Creature 2/3 	3 	Uncommon (U3) 	Sandra Everingham 	English Antiquities
43 	Weakstone 	Continuous Artifact 	4 	Uncommon (U3) 	Justin Hampton 	English Antiquities
44 	Yotian Soldier 	Artifact Creature 1/4 	3 	Common (C4) 	Christopher Rush 	English Antiquities
45 	Artifact Possession 	Enchant Artifact 	2B 	Common (C4) 	Christopher Rush 	English Antiquities
46 	Gate to Phyrexia 	Enchantment 	BB 	Uncommon (U3) 	Sandra Everingham 	English Antiquities
47 	Haunting Wind 	Enchantment 	3B 	Uncommon (U3) 	Jeff A. Menges 	English Antiquities
48 	Phyrexian Gremlins 	Summon Gremlins 1/1 	2B 	Common (C4) 	Amy Weber 	English Antiquities
49 	Priest of Yawgmoth 	Summon Cleric 1/2 	1B 	Common (C4) 	Mark Tedin 	English Antiquities
50 	Xenic Poltergeist 	Summon Poltergeist 1/1 	1BB 	Uncommon (U3) 	Dan Frazier 	English Antiquities
51 	Yawgmoth Demon 	Summon Demon 6/6 	4BB 	Rare (U1) 	Sandra Everingham 	English Antiquities
52 	Drafna's Restoration 	Sorcery 	U 	Common (C4) 	Amy Weber 	English Antiquities
53 	Energy Flux 	Enchantment 	2U 	Uncommon (U3) 	Kaja Foglio 	English Antiquities
54 	Hurkyl's Recall 	Instant 	1U 	Rare (U1) 	Né Thomas 	English Antiquities
55 	Power Artifact 	Enchant Artifact 	UU 	Uncommon (U3) 	Douglas Shuler 	English Antiquities
56 	Reconstruction 	Sorcery 	U 	Common (C4) 	Anson Maddocks 	English Antiquities
57 	Sage of Lat-Nam 	Summon Sage 1/2 	1U 	Common (C4) 	Pete Venters 	English Antiquities
58 	Transmute Artifact 	Sorcery 	UU 	Uncommon (U3) 	Anson Maddocks 	English Antiquities
59 	Argothian Pixies 	Summon Faeries 2/1 	1G 	Common (C4) 	Amy Weber 	English Antiquities
60 	Argothian Treefolk 	Summon Treefolk 3/5 	3GG 	Common (C4) 	Amy Weber 	English Antiquities
