1 	Day of Destiny 	Legendary Enchantment 	3W 	Rare 	Daren Bader 	English Betrayers of Kamigawa
2 	Empty-Shrine Kannushi 	Creature - Human Cleric 1/1 	W 	Uncommon 	Ron Spears 	English Betrayers of Kamigawa
3 	Faithful Squire 	Creature - Human Soldier 2/2 	1WW 	Uncommon 	Mark Zug 	English Betrayers of Kamigawa
4 	Final Judgment 	Sorcery 	4WW 	Rare 	Kev Walker 	English Betrayers of Kamigawa
5 	Genju of the Fields 	Enchant Plains 	W 	Uncommon 	Greg Staples 	English Betrayers of Kamigawa
6 	Heart of Light 	Enchant Creature 	2W 	Common 	Luca Zontini 	English Betrayers of Kamigawa
7 	Hokori, Dust Drinker 	Legendary Creature - Spirit 2/2 	2WW 	Rare 	Darrell Riche 	English Betrayers of Kamigawa
8 	Hundred-Talon Strike 	Instant - Arcane 	W 	Common 	Matt Cavotta 	English Betrayers of Kamigawa
9 	Indebted Samurai 	Creature - Human Samurai 2/3 	3W 	Uncommon 	Carl Critchlow 	English Betrayers of Kamigawa
10 	Kami of False Hope 	Creature - Spirit 1/1 	W 	Common 	Daren Bader 	English Betrayers of Kamigawa
11 	Kami of Tattered Shoji 	Creature - Spirit 2/5 	4W 	Common 	Shishizaru 	English Betrayers of Kamigawa
12 	Kami of the Honored Dead 	Creature - Spirit 3/5 	5WW 	Uncommon 	Mark Zug 	English Betrayers of Kamigawa
13 	Kentaro, the Smiling Cat 	Legendary Creature - Human Samurai 2/1 	1W 	Rare 	Donato Giancola 	English Betrayers of Kamigawa
14 	Kitsune Palliator 	Creature - Fox Cleric 0/2 	2W 	Uncommon 	Dave Dorman 	English Betrayers of Kamigawa
15 	Mending Hands 	Instant 	W 	Common 	Douglas Shuler 	English Betrayers of Kamigawa
16 	Moonlit Strider 	Creature - Spirit 1/4 	3W 	Common 	John Avon 	English Betrayers of Kamigawa
17 	Opal-Eye, Konda's Yojimbo 	Legendary Creature - Fox Samurai 1/4 	1WW 	Rare 	Greg Staples 	English Betrayers of Kamigawa
18 	Oyobi, Who Split the Heavens 	Legendary Creature - Spirit 3/6 	6W 	Rare 	Christopher Moeller 	English Betrayers of Kamigawa
