1 	Blessed Breath 	Instant - Arcane 	W 	Common 	Tsutomu Kawade 	English Champions of Kamigawa
2 	Bushi Tenderfoot 	Creature - Human Soldier 1/1 	W 	Uncommon 	Mark Zug 	English Champions of Kamigawa
3 	Cage of Hands 	Enchant Creature 	2W 	Common 	Mark Tedin 	English Champions of Kamigawa
4 	Call to Glory 	Instant 	1W 	Common 	Wayne Reynolds 	English Champions of Kamigawa
5 	Candles' Glow 	Instant - Arcane 	1W 	Uncommon 	Alan Pollack 	English Champions of Kamigawa
6 	Cleanfall 	Sorcery - Arcane 	2W 	Uncommon 	Daren Bader 	English Champions of Kamigawa
7 	Devoted Retainer 	Creature - Human Samurai 1/1 	W 	Common 	Greg Hildebrandt 	English Champions of Kamigawa
8 	Eight-and-a-Half-Tails 	Legendary Creature - Fox Cleric 2/2 	WW 	Rare 	Daren Bader 	English Champions of Kamigawa
9 	Ethereal Haze 	Instant - Arcane 	W 	Common 	Chris Appelhans 	English Champions of Kamigawa
10 	Ghostly Prison 	Enchantment 	2W 	Uncommon 	Lars Grant-West 	English Champions of Kamigawa
11 	Harsh Deceiver 	Creature - Spirit 1/4 	3W 	Common 	Heather Hudson 	English Champions of Kamigawa
12 	Hikari, Twilight Guardian 	Legendary Creature - Spirit 4/4 	3WW 	Rare 	Glen Angus 	English Champions of Kamigawa
13 	Hold the Line 	Instant 	1WW 	Rare 	Ron Spears 	English Champions of Kamigawa
14 	Honden of Cleansing Fire 	Legendary Enchantment - Shrine 	3W 	Uncommon 	Greg Staples 	English Champions of Kamigawa
15 	Horizon Seed 	Creature - Spirit 2/1 	4W 	Uncommon 	Matt Cavotta 	English Champions of Kamigawa
16 	Hundred-Talon Kami 	Creature - Spirit 2/3 	4W 	Common 	Paolo Parente 	English Champions of Kamigawa
17 	Indomitable Will 	Enchant Creature 	1W 	Common 	Christopher Rush 	English Champions of Kamigawa
18 	Innocence Kami 	Creature - Spirit 2/3 	3WW 	Uncommon 	Mark Zug 	English Champions of Kamigawa
19 	Isamaru, Hound of Konda 	Legendary Creature - Hound 2/2 	W 	Rare 	Christopher Moeller 	English Champions of Kamigawa
20 	Kabuto Moth 	Creature - Spirit 1/2 	2W 	Common 	Tomas Giorello 	English Champions of Kamigawa
21 	Kami of Ancient Law 	Creature - Spirit 2/2 	1W 	Common 	Mark Tedin 	English Champions of Kamigawa
22 	Kami of Old Stone 	Creature - Spirit 1/7 	3W 	Uncommon 	Stephen Tappin 	English Champions of Kamigawa
23 	Kami of the Painted Road 	Creature - Spirit 3/3 	4W 	Common 	Ron Spencer 	English Champions of Kamigawa
24 	Kami of the Palace Fields 	Creature - Spirit 3/2 	5W 	Uncommon 	Matt Cavotta 	English Champions of Kamigawa
25 	Kitsune Blademaster 	Creature - Fox Samurai 2/2 	2W 	Common 	Keith Garletts 	English Champions of Kamigawa
26 	Kitsune Diviner 	Creature - Fox Cleric 0/1 	W 	Common 	Pete Venters 	English Champions of Kamigawa
27 	Kitsune Healer 	Creature - Fox Cleric 2/2 	3W 	Common 	Michael Sutfin 	English Champions of Kamigawa
28 	Kitsune Mystic 	Creature - Fox Wizard 2/3 	3W 	Rare 	Jim Murray 	English Champions of Kamigawa
29 	Kitsune Riftwalker 	Creature - Fox Wizard 2/1 	1WW 	Common 	Pete Venters 	English Champions of Kamigawa
30 	Konda, Lord of Eiganjo 	Legendary Creature - Human Samurai 3/3 	5WW 	Rare 	John Bolton 	English Champions of Kamigawa
31 	Konda's Hatamoto 	Creature - Human Samurai 1/2 	1W 	Uncommon 	Lars Grant-West 	English Champions of Kamigawa
32 	Lantern Kami 	Creature - Spirit 1/1 	W 	Common 	John Avon 	English Champions of Kamigawa
33 	Masako the Humorless 	Legendary Creature - Human Advisor 2/1 	2W 	Rare 	Ben Thompson 	English Champions of Kamigawa
34 	Mothrider Samurai 	Creature - Human Samurai 2/2 	3W 	Common 	Mark Zug 	English Champions of Kamigawa
35 	Myojin of Cleansing Fire 	Legendary Creature - Spirit 4/6 	5WWW 	Rare 	Kev Walker 	English Champions of Kamigawa
36 	Nagao, Bound by Honor 	Legendary Creature - Human Samurai 3/3 	3W 	Uncommon 	Dave Dorman 	English Champions of Kamigawa
37 	Otherworldly Journey 	Instant - Arcane 	1W 	Uncommon 	Vance Kovacs 	English Champions of Kamigawa
38 	Pious Kitsune 	Creature - Fox Cleric 1/2 	2W 	Common 	Anthony S. Waters 	English Champions of Kamigawa
