1 	Adarkar Valkyrie 	Snow Creature - Angel 4/5 	4WW 	Rare 	Jeremy Jarvis 	English Coldsnap
2 	Boreal Griffin 	Snow Creature - Griffin 3/2 	3WW 	Common 	Cyril Van Der Haegen 	English Coldsnap
3 	Cover of Winter 	Snow Enchantment 	2W 	Rare 	Wayne Reynolds 	English Coldsnap
4 	Darien, King of Kjeldor 	Legendary Creature - Human Lord 3/3 	4WW 	Rare 	Michael Phillippi 	English Coldsnap
5 	Field Marshal 	Creature - Human Soldier 2/2 	1WW 	Rare 	Stephen Tappin 	English Coldsnap
6 	Gelid Shackles 	Snow Enchantment - Aura 	W 	Common 	Alex Horley-Orlandelli 	English Coldsnap
7 	Glacial Plating 	Snow Enchantment - Aura 	2WW 	Uncommon 	Brian Despain 	English Coldsnap
8 	Jö Grunt 	Creature - Giant Soldier 4/4 	1W 	Uncommon 	Franz Vohwinkel 	English Coldsnap
9 	Jö Owl Keeper 	Creature - Giant 3/3 	2W 	Uncommon 	Dave Dorman 	English Coldsnap
10 	Kjeldoran Gargoyle 	Creature - Gargoyle 3/3 	5W 	Uncommon 	Marcelo Vignali 	English Coldsnap
11 	Kjeldoran Javelineer 	Creature - Human Soldier 1/2 	W 	Common 	Dave Dorman 	English Coldsnap
12 	Kjeldoran Outrider 	Creature - Human Soldier 2/2 	1W 	Common 	Carl Critchlow 	English Coldsnap
13 	Kjeldoran War Cry 	Instant 	1W 	Common 	Michael Phillippi 	English Coldsnap
14 	Luminesce 	Instant 	W 	Uncommon 	Daren Bader 	English Coldsnap
15 	Martyr of Sands 	Creature - Human Cleric 1/1 	W 	Common 	Randy Gallegos 	English Coldsnap
16 	Ronom Unicorn 	Creature - Unicorn 2/2 	1W 	Common 	Carl Critchlow 	English Coldsnap
17 	Squall Drifter 	Snow Creature - Elemental 1/1 	1W 	Common 	Joel Thomas 	English Coldsnap
18 	Sun's Bounty 	Instant 	1W 	Common 	Michael Sutfin 	English Coldsnap
19 	Sunscour 	Sorcery 	5WW 	Rare 	Jim Murray 	English Coldsnap
20 	Surging Sentinels 	Creature - Human Soldier 2/1 	2W 	Common 	Christopher Moeller 	English Coldsnap
21 	Swift Maneuver 	Instant 	1W 	Common 	Michael Sutfin 	English Coldsnap
22 	Ursine Fylgja 	Creature - Spirit Bear 3/3 	4W 	Uncommon 	Yokota Katsumi 	English Coldsnap
23 	Wall of Shards 	Snow Creature - Wall 1/8 	1W 	Uncommon 	Alex Horley-Orlandelli 	English Coldsnap
24 	White Shield Crusader 	Creature - Human Knight 2/1 	WW 	Uncommon 	Jeff Easley 	English Coldsnap
25 	Woolly Razorback 	Creature - Beast 7/7 	2WW 	Rare 	Richard Sardinha 	English Coldsnap
26 	Adarkar Windform 	Snow Creature - Illusion 3/3 	4U 	Uncommon 	Randy Gallegos 	English Coldsnap
27 	Arcum Dagsson 	Legendary Creature - Human Artificer 2/2 	3U 	Rare 	Pete Venters 	English Coldsnap
28 	Balduvian Frostwaker 	Creature - Human Wizard 1/1 	2U 	Uncommon 	Stephen Tappin 	English Coldsnap
29 	Commandeer 	Instant 	5UU 	Rare 	John Matson 	English Coldsnap
30 	Controvert 	Instant 	2UU 	Uncommon 	Joel Thomas 	English Coldsnap
31 	Counterbalance 	Enchantment 	UU 	Uncommon 	John Zeleznik 	English Coldsnap
32 	Drelnoch 	Creature - Yeti Mutant 3/3 	4U 	Common 	Zoltan Boros & Gabor Szikszai 	English Coldsnap
33 	Flashfreeze 	Instant 	1U 	Uncommon 	Brian Despain 	English Coldsnap
34 	Frost Raptor 	Snow Creature - Bird 2/2 	2U 	Common 	Lars Grant-West 	English Coldsnap
35 	Frozen Solid 	Enchantment - Aura 	1UU 	Common 	Ralph Horsley 	English Coldsnap
36 	Heidar, Rimewind Master 	Legendary Creature - Human Wizard 3/3 	4U 	Rare 	Ron Spears 	English Coldsnap
37 	Jokulmorder 	Creature - Leviathan 12/12 	4UUU 	Rare 	Mark Zug 	English Coldsnap
38 	Krovikan Mist 	Creature - Illusion */* 	1U 	Common 	Jeremy Jarvis 	English Coldsnap
39 	Krovikan Whispers 	Enchantment - Aura 	3U 	Uncommon 	Nick Percival 	English Coldsnap
40 	Martyr of Frost 	Creature - Human Wizard 1/1 	U 	Common 	Wayne England 	English Coldsnap
41 	Perilous Research 	Instant 	1U 	Uncommon 	Dany Orizio 	English Coldsnap
42 	Rimefeather Owl 	Snow Creature - Bird */* 	5UU 	Rare 	Kensuke Okabayashi 	English Coldsnap
43 	Rimewind Cryomancer 	Creature - Human Wizard 2/3 	3U 	Uncommon 	Dan Scott 	English Coldsnap
44 	Rimewind Taskmage 	Creature - Human Wizard 1/2 	1U 	Common 	Ron Spears 	English Coldsnap
45 	Ronom Serpent 	Snow Creature - Serpent 5/6 	5U 	Common 	Ron Spencer 	English Coldsnap
46 	Rune Snag 	Instant 	1U 	Common 	Dave Dorman 	English Coldsnap
47 	Surging Æher 	Instant 	3U 	Common 	Anthony S. Waters 	English Coldsnap
48 	Survivor of the Unseen 	Creature - Human Wizard 2/1 	2U 	Common 	Alan Pollack 	English Coldsnap
49 	Thermal Flux 	Instant 	U 	Common 	Jeff Miracola 	English Coldsnap
50 	Vexing Sphinx 	Creature - Sphinx 4/4 	1UU 	Rare 	Lars Grant-West 	English Coldsnap
51 	Balduvian Fallen 	Creature - Zombie 3/5 	3B 	Uncommon 	Dave Kendall 	English Coldsnap
52 	Chill to the Bone 	Instant 	3B 	Common 	Jim Murray 	English Coldsnap
53 	Chilling Shade 	Snow Creature - Shade 1/1 	2B 	Common 	Jeff Nentrup 	English Coldsnap
54 	Deathmark 	Sorcery 	B 	Uncommon 	Jeremy Jarvis 	English Coldsnap
55 	Disciple of Tevesh Szat 	Creature - Human Cleric 3/1 	2BB 	Common 	Pete Venters 	English Coldsnap
56 	Feast of Flesh 	Sorcery 	B 	Common 	Volkan Baga 	English Coldsnap
57 	Garza's Assassin 	Creature - Human Assassin 2/2 	BBB 	Rare 	Parente 	English Coldsnap
58 	Grim Harvest 	Instant 	1B 	Common 	Zoltan Boros & Gabor Szikszai 	English Coldsnap
59 	Gristle Grinner 	Creature - Zombie 3/3 	4B 	Uncommon 	Dave Allsop 	English Coldsnap
60 	Gutless Ghoul 	Snow Creature - Zombie 2/2 	2B 	Common 	Kensuke Okabayashi 	English Coldsnap
61 	Haakon, Stromgald Scourge 	Legendary Creature - Zombie Knight 3/3 	1BB 	Rare 	Mark Zug 	English Coldsnap
62 	Herald of Leshrac 	Creature - Avatar 2/4 	6B 	Rare 	Alex Horley-Orlandelli 	English Coldsnap
63 	Krovikan Rot 	Instant 	2B 	Uncommon 	Michael Sutfin 	English Coldsnap
64 	Krovikan Scoundrel 	Creature - Human Rogue 2/1 	1B 	Common 	Ralph Horsley 	English Coldsnap
65 	Martyr of Bones 	Creature - Human Wizard 1/1 	B 	Common 	E. M. Gist 	English Coldsnap
66 	Phobian Phantasm 	Creature - Illusion 3/3 	1BB 	Uncommon 	Steven Belledin 	English Coldsnap
67 	Phyrexian Etchings 	Enchantment 	BBB 	Rare 	Ron Spears 	English Coldsnap
68 	Rime Transfusion 	Snow Enchantment - Aura 	1B 	Uncommon 	Jeff Nentrup 	English Coldsnap
69 	Rimebound Dead 	Snow Creature - Skeleton 1/1 	B 	Common 	Dave Kendall 	English Coldsnap
70 	Soul Spike 	Instant 	5BB 	Rare 	Wayne England 	English Coldsnap
71 	Stromgald Crusader 	Creature - Zombie Knight 2/1 	BB 	Uncommon 	Volkan Baga 	English Coldsnap
72 	Surging Dementia 	Sorcery 	1B 	Common 	Hideaki Takamura 	English Coldsnap
73 	Tresserhorn Skyknight 	Creature - Zombie Knight 5/3 	5BB 	Uncommon 	Dan Dos Santos 	English Coldsnap
74 	Void Maw 	Creature - Horror 4/5 	4BB 	Rare 	E. M. Gist 	English Coldsnap
75 	Zombie Musher 	Snow Creature - Zombie 2/3 	3B 	Common 	Kev Walker 	English Coldsnap
76 	Balduvian Rage 	Instant 	XR 	Uncommon 	John Matson 	English Coldsnap
77 	Balduvian Warlord 	Creature - Human Barbarian 3/2 	3R 	Uncommon 	Parente 	English Coldsnap
78 	Braid of Fire 	Enchantment 	1R 	Rare 	Cyril Van Der Haegen 	English Coldsnap
79 	Cryoclasm 	Sorcery 	2R 	Uncommon 	Zoltan Boros & Gabor Szikszai 	English Coldsnap
80 	Earthen Goo 	Creature - Ooze 2/2 	2R 	Uncommon 	Nick Percival 	English Coldsnap
81 	Fury of the Horde 	Sorcery 	5RR 	Rare 	Stephen Tappin 	English Coldsnap
82 	Goblin Furrier 	Creature - Goblin Warrior 2/2 	1R 	Common 	Warren Mahy 	English Coldsnap
83 	Goblin Rimerunner 	Snow Creature - Goblin Warrior 2/2 	2R 	Common 	Christopher Rush 	English Coldsnap
84 	Greater Stone Spirit 	Creature - Elemental Spirit 4/4 	4RR 	Uncommon 	Yokota Katsumi 	English Coldsnap
85 	Icefall 	Sorcery 	2RR 	Common 	Warren Mahy 	English Coldsnap
86 	Karplusan Minotaur 	Creature - Minotaur Warrior 3/3 	2RR 	Rare 	Wayne England 	English Coldsnap
87 	Karplusan Wolverine 	Snow Creature - Beast 1/1 	R 	Common 	Greg Hildebrandt 	English Coldsnap
88 	Lightning Serpent 	Creature - Elemental Serpent 2/1 	XR 	Rare 	John Avon 	English Coldsnap
89 	Lightning Storm 	Instant 	1RR 	Uncommon 	Luca Zontini 	English Coldsnap
90 	Lovisa Coldeyes 	Legendary Creature - Human Lord 3/3 	3RR 	Rare 	Brian Snõ 	English Coldsnap
91 	Magmatic Core 	Enchantment 	2RR 	Uncommon 	Matt Cavotta 	English Coldsnap
92 	Martyr of Ashes 	Creature - Human Shaman 1/1 	R 	Common 	Ralph Horsley 	English Coldsnap
93 	Ohran Yeti 	Snow Creature - Yeti 3/3 	3R 	Common 	Wayne Reynolds 	English Coldsnap
94 	Orcish Bloodpainter 	Creature - Orc Shaman 2/1 	2R 	Common 	Alan Pollack 	English Coldsnap
95 	Rimescale Dragon 	Snow Creature - Dragon 5/5 	5RR 	Rare 	Jeff Easley 	English Coldsnap
96 	Rite of Flame 	Sorcery 	R 	Common 	Dany Orizio 	English Coldsnap
97 	Skred 	Instant 	R 	Common 	Christopher Moeller 	English Coldsnap
98 	Stalking Yeti 	Snow Creature - Yeti 3/3 	2RR 	Uncommon 	Brian Snõ 	English Coldsnap
99 	Surging Flame 	Instant 	1R 	Common 	Ron Spencer 	English Coldsnap
100 	Thermopod 	Snow Creature - Slug 4/3 	4R 	Common 	Dan Dos Santos 	English Coldsnap
101 	Allosaurus Rider 	Creature - Elf Warrior 1+*/1+* 	5GG 	Rare 	Daren Bader 	English Coldsnap
102 	Arctic Nishoba 	Creature - Cat Warrior 6/6 	5G 	Uncommon 	Dave Kendall 	English Coldsnap
103 	Aurochs Herd 	Creature - Aurochs 4/4 	5G 	Common 	Darrell Riche 	English Coldsnap
104 	Boreal Centaur 	Snow Creature - Centaur Warrior 2/2 	1G 	Common 	Marcelo Vignali 	English Coldsnap
105 	Boreal Druid 	Snow Creature - Elf Druid 1/1 	G 	Common 	Dan Dos Santos 	English Coldsnap
106 	Brooding Saurian 	Creature - Lizard 4/4 	2GG 	Rare 	rk post 	English Coldsnap
107 	Bull Aurochs 	Creature - Aurochs 2/1 	1G 	Common 	Kev Walker 	English Coldsnap
108 	Freyalise's Radiance 	Enchantment 	1G 	Uncommon 	Thomas M. Baxa 	English Coldsnap
109 	Frostweb Spider 	Snow Creature - Spider 1/3 	2G 	Common 	Greg Hildebrandt 	English Coldsnap
110 	Hibernation's End 	Enchantment 	4G 	Rare 	Steven Belledin 	English Coldsnap
111 	Into the North 	Sorcery 	1G 	Common 	Richard Sardinha 	English Coldsnap
112 	Karplusan Strider 	Creature - Yeti 3/4 	3G 	Uncommon 	Dan Scott 	English Coldsnap
113 	Martyr of Spores 	Creature - Human Shaman 1/1 	G 	Common 	Dan Scott 	English Coldsnap
114 	Mystic Melting 	Instant 	3G 	Uncommon 	Chippy 	English Coldsnap
115 	Ohran Viper 	Snow Creature - Snake 1/3 	1GG 	Rare 	Kev Walker 	English Coldsnap
116 	Panglacial Wurm 	Creature - Wurm 9/5 	5GG 	Rare 	Jim Pavelec 	English Coldsnap
117 	Resize 	Instant 	1G 	Uncommon 	Daren Bader 	English Coldsnap
118 	Rimehorn Aurochs 	Snow Creature - Aurochs 3/3 	4G 	Uncommon 	Brian Despain 	English Coldsnap
119 	Ronom Hulk 	Creature - Beast 5/6 	4G 	Common 	Zoltan Boros & Gabor Szikszai 	English Coldsnap
120 	Shape of the Wiitigo 	Enchantment - Aura 	3GGG 	Rare 	Ron Spencer 	English Coldsnap
121 	Sheltering Ancient 	Creature - Treefolk 5/5 	1G 	Uncommon 	Pete Venters 	English Coldsnap
122 	Simian Brawler 	Creature - Ape Warrior 3/3 	3G 	Common 	Warren Mahy 	English Coldsnap
123 	Sound the Call 	Sorcery 	2G 	Common 	Jim Nelson 	English Coldsnap
124 	Steam Spitter 	Creature - Spider 1/5 	4G 	Uncommon 	Christopher Rush 	English Coldsnap
125 	Surging Might 	Enchantment - Aura 	2G 	Common 	Luca Zontini 	English Coldsnap
126 	Blizzard Specter 	Snow Creature - Specter 2/3 	2UB 	Uncommon 	Hideaki Takamura 	English Coldsnap
127 	Deepfire Elemental 	Creature - Elemental 4/4 	4BR 	Uncommon 	Joel Thomas 	English Coldsnap
128 	Diamond Faerie 	Snow Creature - Faerie 3/3 	2WUG 	Rare 	Heather Hudson 	English Coldsnap
129 	Garza Zol, Plague Queen 	Legendary Creature - Vampire 5/5 	4UBR 	Rare 	Darrell Riche 	English Coldsnap
130 	Juniper Order Ranger 	Creature - Human Knight 2/4 	3WG 	Uncommon 	Greg Hildebrandt 	English Coldsnap
131 	Sek'Kuar, Deathkeeper 	Legendary Creature - Orc Shaman 4/3 	2BRG 	Rare 	Jeff Miracola 	English Coldsnap
132 	Tamanoa 	Creature - Spirit 2/4 	WRG 	Rare 	rk post 	English Coldsnap
133 	Vanish into Memory 	Instant 	2WU 	Uncommon 	Rebekah Lynn 	English Coldsnap
134 	Wilderness Elemental 	Creature - Elemental */3 	1RG 	Uncommon 	Anthony S. Waters 	English Coldsnap
135 	Zur the Enchanter 	Legendary Creature - Human Wizard 1/4 	1WUB 	Rare 	Pete Venters 	English Coldsnap
136 	Coldsteel Heart 	Snow Artifact 	2 	Uncommon 	Mark Romanoski 	English Coldsnap
137 	Jester's Scepter 	Artifact 	3 	Rare 	Matt Cavotta 	English Coldsnap
138 	Mishra's Bauble 	Artifact 	0 	Uncommon 	Chippy 	English Coldsnap
139 	Phyrexian Ironfoot 	Snow Artifact Creature - Construct 3/4 	3 	Uncommon 	Stephan Martiniere 	English Coldsnap
140 	Phyrexian Snowcrusher 	Snow Artifact Creature - Juggernaut 6/5 	6 	Uncommon 	Dave Allsop 	English Coldsnap
141 	Phyrexian Soulgorger 	Snow Artifact Creature - Construct 8/8 	3 	Rare 	Brian Snõ 	English Coldsnap
142 	Thrumming Stone 	Legendary Artifact 	5 	Rare 	Rob Alexander 	English Coldsnap
143 	Arctic Flats 	Snow Land 		Uncommon 	John Avon 	English Coldsnap
144 	Boreal Shelf 	Snow Land 		Uncommon 	Heather Hudson 	English Coldsnap
145 	Dark Depths 	Legendary Snow Land 		Rare 	Stephan Martiniere 	English Coldsnap
146 	Frost Marsh 	Snow Land 		Uncommon 	Jim Pavelec 	English Coldsnap
147 	Highland Weald 	Snow Land 		Uncommon 	John Avon 	English Coldsnap
148 	Mouth of Ronom 	Snow Land 		Uncommon 	Daren Bader 	English Coldsnap
149 	Scrying Sheets 	Snow Land 		Rare 	Thomas M. Baxa 	English Coldsnap
150 	Tresserhorn Sinks 	Snow Land 		Uncommon 	Darrell Riche 	English Coldsnap
151 	Snow-Covered Plains 	Basic Snow Land - Plains 		Common 	Mark Romanoski 	English Coldsnap
152 	Snow-Covered Island 	Basic Snow Land - Island 		Common 	Franz Vohwinkel 	English Coldsnap
153 	Snow-Covered Swamp 	Basic Snow Land - Swamp 		Common 	Rob Alexander 	English Coldsnap
154 	Snow-Covered Mountain 	Basic Snow Land - Mountain 		Common 	John Zeleznik 	English Coldsnap
155 	Snow-Covered Forest 	Basic Snow Land - Forest 		Common 	Jim Nelson 	English Coldsnap
