1 	Auriok Glaivemaster 	Creature - Human Soldier 1/1 	W 	Common 	John Matson 	English Darksteel
2 	Echoing Calm 	Instant 	1W 	Common 	Greg Staples 	English Darksteel
3 	Emissary of Hope 	Creature - Spirit 2/1 	1WW 	Uncommon 	rk post 	English Darksteel
4 	Hallow 	Instant 	W 	Common 	Alex Horley-Orlandelli 	English Darksteel
5 	Leonin Battlemage 	Creature - Cat Wizard 2/3 	3W 	Uncommon 	Stephen Tappin 	English Darksteel
6 	Leonin Shikari 	Creature - Cat Soldier 2/2 	1W 	Rare 	Wayne England 	English Darksteel
7 	Loxodon Mystic 	Creature - Elephant Cleric 3/3 	3WW 	Common 	Edward P. Beard, Jr. 	English Darksteel
8 	Metal Fatigue 	Instant 	2W 	Common 	Arnie Swekel 	English Darksteel
9 	Pristine Angel 	Creature - Angel 4/4 	4WW 	Rare 	Scott M. Fischer 	English Darksteel
10 	Pteron Ghost 	Creature - Spirit 1/1 	1W 	Common 	Edward P. Beard, Jr. 	English Darksteel
11 	Pulse of the Fields 	Instant 	1WW 	Rare 	Paolo Parente 	English Darksteel
12 	Purge 	Instant 	1W 	Uncommon 	Pete Venters 	English Darksteel
13 	Ritual of Restoration 	Sorcery 	W 	Common 	Dany Orizio 	English Darksteel
14 	Soulscour 	Sorcery 	7WWW 	Rare 	Kev Walker 	English Darksteel
15 	Steelshaper Apprentice 	Creature - Human Soldier 1/3 	2WW 	Rare 	Tim Hildebrandt 	English Darksteel
16 	Stir the Pride 	Instant 	4W 	Uncommon 	Matt Cavotta 	English Darksteel
17 	Test of Faith 	Instant 	1W 	Uncommon 	Vance Kovacs 	English Darksteel
18 	Turn the Tables 	Instant 	3WW 	Rare 	Christopher Moeller 	English Darksteel
19 	Carry Away 	Enchant Equipment 	UU 	Uncommon 	Jim Nelson 	English Darksteel
20 	Chromescale Drake 	Creature - Drake 3/4 	6UUU 	Rare 	Ben Thompson 	English Darksteel
21 	Echoing Truth 	Instant 	1U 	Common 	Greg Staples 	English Darksteel
22 	Hoverguard Observer 	Creature - Drone 3/3 	2UU 	Uncommon 	Kev Walker 	English Darksteel
23 	Last Word 	Instant 	2UU 	Rare 	Scott M. Fischer 	English Darksteel
24 	Machinate 	Instant 	1UU 	Common 	Wayne England 	English Darksteel
25 	Magnetic Flux 	Instant 	2U 	Common 	Alan Rabinowitz 	English Darksteel
26 	Neurok Prodigy 	Creature - Human Wizard 2/1 	2U 	Common 	Puddnhead 	English Darksteel
27 	Neurok Transmuter 	Creature - Human Wizard 2/2 	2U 	Uncommon 	Mark Zug 	English Darksteel
28 	Psychic Overload 	Enchant Permanent 	3U 	Uncommon 	Jeremy Jarvis 	English Darksteel
29 	Pulse of the Grid 	Instant 	1UU 	Rare 	Wayne England 	English Darksteel
30 	Quicksilver Behemoth 	Creature - Beast 4/5 	6U 	Common 	Anthony S. Waters 	English Darksteel
31 	Reshape 	Sorcery 	XUU 	Rare 	Jon Foster 	English Darksteel
32 	Retract 	Instant 	U 	Rare 	Matt Cavotta 	English Darksteel
33 	Second Sight 	Instant 	2U 	Uncommon 	Luca Zontini 	English Darksteel
