1 	Aurora Eidolon 	Creature - Spirit 2/2 	3W 	Common 	Justin Sweet 	English Dissension
2 	Azorius Herald 	Creature - Spirit 2/1 	2W 	Uncommon 	Justin Sweet 	English Dissension
3 	Beacon Hawk 	Creature - Bird 1/1 	1W 	Common 	William Simpson 	English Dissension
4 	Blessing of the Nephilim 	Enchantment - Aura 	W 	Uncommon 	Greg Hildebrandt 	English Dissension
5 	Brace for Impact 	Instant 	4W 	Uncommon 	Dan Scott 	English Dissension
6 	Carom 	Instant 	1W 	Common 	Alex Horley-Orlandelli 	English Dissension
7 	Celestial Ancient 	Creature - Elemental 3/3 	3WW 	Rare 	Mark Tedin 	English Dissension
8 	Condemn 	Instant 	W 	Uncommon 	Daren Bader 	English Dissension
9 	Freewind Equenaut 	Creature - Human Archer 2/2 	2W 	Common 	Rebecca Guay 	English Dissension
10 	Guardian of the Guildpact 	Creature - Spirit 2/3 	3W 	Common 	Fred Hooper 	English Dissension
11 	Haazda Exonerator 	Creature - Human Cleric 1/1 	W 	Common 	Kev Walker 	English Dissension
12 	Haazda Shield Mate 	Creature - Human Soldier 1/1 	2W 	Rare 	Ron Spears 	English Dissension
13 	Mistral Charger 	Creature - Pegasus 2/1 	1W 	Uncommon 	Terese Nielsen 	English Dissension
14 	Paladin of Prahv 	Creature - Human Knight 3/4 	4WW 	Uncommon 	William Simpson 	English Dissension
15 	Proclamation of Rebirth 	Sorcery 	2W 	Rare 	William Simpson 	English Dissension
16 	Proper Burial 	Enchantment 	3W 	Rare 	Luca Zontini 	English Dissension
17 	Soulsworn Jury 	Creature - Spirit 1/4 	2W 	Common 	Zoltan Boros & Gabor Szikszai 	English Dissension
18 	Steeling Stance 	Instant 	1WW 	Common 	Randy Gallegos 	English Dissension
19 	Stoic Ephemera 	Creature - Spirit 5/5 	2W 	Uncommon 	Randy Gallegos 	English Dissension
20 	Valor Made Real 	Instant 	W 	Common 	Jeff Miracola 	English Dissension
21 	Wakestone Gargoyle 	Creature - Gargoyle 3/4 	3W 	Rare 	Jim Murray 	English Dissension
22 	Court Hussar 	Creature - Vedalken Knight 1/3 	2U 	Uncommon 	Ron Spears 	English Dissension
23 	Cytoplast Manipulator 	Creature - Human Wizard Mutant 0/0 	2UU 	Rare 	Dan Scott 	English Dissension
24 	Enigma Eidolon 	Creature - Spirit 2/2 	3U 	Common 	Shishizaru 	English Dissension
25 	Govern the Guildless 	Sorcery 	5U 	Rare 	Alex Horley-Orlandelli 	English Dissension
26 	Helium Squirter 	Creature - Beast Mutant 0/0 	4U 	Common 	Hideaki Takamura 	English Dissension
27 	Novijen Sages 	Creature - Human Advisor Mutant 0/0 	4UU 	Rare 	Luca Zontini 	English Dissension
28 	Ocular Halo 	Enchantment - Aura 	3U 	Common 	Ralph Horsley 	English Dissension
29 	Plaxmanta 	Creature - Beast 2/2 	1U 	Uncommon 	Alan Pollack 	English Dissension
30 	Psychic Possession 	Enchantment - Aura 	2UU 	Rare 	Mark Tedin 	English Dissension
31 	Silkwing Scout 	Creature - Faerie Scout 2/1 	2U 	Common 	Rebecca Guay 	English Dissension
32 	Skyscribing 	Sorcery 	XUU 	Uncommon 	Luca Zontini 	English Dissension
33 	Spell Snare 	Instant 	U 	Uncommon 	Hideaki Takamura 	English Dissension
34 	Tidespout Tyrant 	Creature - Djinn 5/5 	5UUU 	Rare 	Dany Orizio 	English Dissension
35 	Vigean Graftmage 	Creature - Vedalken Wizard Mutant 0/0 	2U 	Uncommon 	Alan Pollack 	English Dissension
36 	Vision Skeins 	Instant 	1U 	Common 	Aleksi Briclot 	English Dissension
37 	Writ of Passage 	Enchantment - Aura 	U 	Common 	Luca Zontini 	English Dissension
38 	Bond of Agony 	Sorcery 	XB 	Uncommon 	Luca Zontini 	English Dissension
39 	Brain Pry 	Sorcery 	1B 	Uncommon 	Jim Nelson 	English Dissension
40 	Crypt Champion 	Creature - Zombie 2/2 	3B 	Uncommon 	Pete Venters 	English Dissension
41 	Delirium Skeins 	Sorcery 	2B 	Common 	Aleksi Briclot 	English Dissension
42 	Demon's Jester 	Creature - Imp 2/2 	3B 	Common 	Pete Venters 	English Dissension
43 	Drekavac 	Creature - Beast 3/3 	1B 	Uncommon 	Carl Critchlow 	English Dissension
44 	Enemy of the Guildpact 	Creature - Spirit 4/2 	4B 	Common 	Fred Hooper 	English Dissension
45 	Entropic Eidolon 	Creature - Spirit 2/2 	3B 	Common 	Aleksi Briclot 	English Dissension
46 	Infernal Tutor 	Sorcery 	1B 	Rare 	Kev Walker 	English Dissension
47 	Macabre Waltz 	Sorcery 	1B 	Common 	Jim Murray 	English Dissension
48 	Nettling Curse 	Enchantment - Aura 	2B 	Common 	Jeremy Jarvis & Wayne Reynolds 	English Dissension
