1 	Angel of Mercy 	Creature - Angel 3/3 	4W 	Uncommon 	Melissa A. Benson 	English Eighth Edition
2 	Angelic Page 	Creature - Spirit 1/1 	1W 	Common 	Marc Fishman 	English Eighth Edition
3 	Ardent Militia 	Creature - Soldier 2/5 	4W 	Uncommon 	Paolo Parente 	English Eighth Edition
4 	Avatar of Hope 	Creature - Avatar 4/9 	6WW 	Rare 	Mark Zug 	English Eighth Edition
5 	Aven Cloudchaser 	Creature - Bird Soldier 2/2 	3W 	Common 	Justin Sweet 	English Eighth Edition
6 	Aven Flock 	Creature - Bird Soldier 2/3 	4W 	Common 	Greg & Tim Hildebrandt 	English Eighth Edition
7 	Blessed Reversal 	Instant 	1W 	Rare 	Christopher Moeller 	English Eighth Edition
8 	Blinding Angel 	Creature - Angel 2/4 	3WW 	Rare 	Todd Lockwood 	English Eighth Edition
9 	Chastise 	Instant 	3W 	Uncommon 	Carl Critchlow 	English Eighth Edition
10 	Circle of Protection: Black 	Enchantment 	1W 	Uncommon 	Mark Romanoski 	English Eighth Edition
11 	Circle of Protection: Blue 	Enchantment 	1W 	Uncommon 	Greg & Tim Hildebrandt 	English Eighth Edition
12 	Circle of Protection: Green 	Enchantment 	1W 	Uncommon 	Alan Pollack 	English Eighth Edition
13 	Circle of Protection: Red 	Enchantment 	1W 	Uncommon 	Gary Ruddell 	English Eighth Edition
14 	Circle of Protection: White 	Enchantment 	1W 	Uncommon 	Darrell Riche 	English Eighth Edition
15 	Crossbow Infantry 	Creature - Soldier 1/1 	1W 	Common 	James Bernardin 	English Eighth Edition
16 	Demystify 	Instant 	W 	Common 	Christopher Rush 	English Eighth Edition
17 	Diving Griffin 	Creature - Griffin 2/2 	1WW 	Common 	John Howe 	English Eighth Edition
18 	Elite Archers 	Creature - Soldier 3/3 	5W 	Rare 	Greg Staples 	English Eighth Edition
19 	Elite Javelineer 	Creature - Soldier 2/2 	2W 	Uncommon 	Mark Poole 	English Eighth Edition
20 	Glorious Anthem 	Enchantment 	1WW 	Rare 	Kev Walker 	English Eighth Edition
21 	Glory Seeker 	Creature - Soldier 2/2 	1W 	Common 	Dave Dorman 	English Eighth Edition
22 	Healing Salve 	Instant 	W 	Common 	Greg & Tim Hildebrandt 	English Eighth Edition
23 	Holy Day 	Instant 	W 	Common 	Pete Venters 	English Eighth Edition
24 	Holy Strength 	Enchant Creature 	W 	Common 	Scott M. Fischer 	English Eighth Edition
25 	Honor Guard 	Creature - Soldier 1/1 	W 	Common 	Mark Zug 	English Eighth Edition
26 	Intrepid Hero 	Creature - Soldier 1/1 	2W 	Rare 	Greg Hildebrandt 	English Eighth Edition
27 	Ivory Mask 	Enchantment 	2WW 	Rare 	Glen Angus 	English Eighth Edition
28 	Karma 	Enchantment 	2WW 	Uncommon 	Bob Eggleton 	English Eighth Edition
29 	Master Decoy 	Creature - Soldier 1/2 	1W 	Common 	Ben Thompson 	English Eighth Edition
30 	Master Healer 	Creature - Cleric 1/4 	4W 	Rare 	Greg & Tim Hildebrandt 	English Eighth Edition
31 	Noble Purpose 	Enchantment 	3WW 	Rare 	Kev Walker 	English Eighth Edition
32 	Oracle's Attendants 	Creature - Soldier 1/5 	3W 	Rare 	Dany Orizio 	English Eighth Edition
33 	Pacifism 	Enchant Creature 	1W 	Common 	Robert Bliss 	English Eighth Edition
34 	Peach Garden Oath 	Sorcery 	W 	Uncommon 	Qiao Dafu 	English Eighth Edition
35 	Rain of Blades 	Instant 	W 	Uncommon 	Rob Alexander 	English Eighth Edition
36 	Razorfoot Griffin 	Creature - Griffin 2/2 	3W 	Common 	Ben Thompson 	English Eighth Edition
37 	Redeem 	Instant 	1W 	Common 	D. Alexander Gregory 	English Eighth Edition
38 	Rolling Stones 	Enchantment 	1W 	Rare 	Don Hazeltine 	English Eighth Edition
39 	Sacred Ground 	Enchantment 	1W 	Rare 	Gary Ruddell 	English Eighth Edition
40 	Sacred Nectar 	Sorcery 	1W 	Common 	Janine Johnston 	English Eighth Edition
41 	Samite Healer 	Creature - Cleric 1/1 	1W 	Common 	Anson Maddocks 	English Eighth Edition
