1 	Archon of Justice 	Creature . Archon 4/4 	3WW 	Rare 	Jason Chan 	English Eventide
2 	Ballynock Trapper 	Creature . Kithkin Soldier 2/2 	3W 	Common 	Randy Gallegos 	English Eventide
3 	Cenn's Enlistment 	Sorcery 	3W 	Common 	Matt Cavotta 	English Eventide
4 	Endless Horizons 	Enchantment 	3W 	Rare 	Joshua Hagler 	English Eventide
5 	Endure 	Instant 	3WW 	Uncommon 	Ralph Horsley 	English Eventide
6 	Flickerwisp 	Creature . Elemental 3/1 	1WW 	Uncommon 	Jeremy Enecio 	English Eventide
7 	Hallowed Burial 	Sorcery 	3WW 	Rare 	Dave Kendall 	English Eventide
8 	Kithkin Spellduster 	Creature . Kithkin Wizard 2/3 	4W 	Common 	Trevor Hairsine 	English Eventide
9 	Kithkin Zealot 	Creature . Kithkin Cleric 1/3 	1W 	Common 	Scott Altmann 	English Eventide
10 	Light from Within 	Enchantment 	2WW 	Rare 	Aleksi Briclot 	English Eventide
11 	Loyal Gyrfalcon 	Creature . Bird 3/3 	3W 	Uncommon 	Darrell Riche 	English Eventide
12 	Patrol Signaler 	Creature . Kithkin Soldier 1/1 	1W 	Uncommon 	Steve Prescott 	English Eventide
13 	Recumbent Bliss 	Enchantment . Aura 	2W 	Common 	Todd Lockwood 	English Eventide
14 	Spirit of the Hearth 	Creature . Cat Spirit 4/5 	4WW 	Rare 	Jason Chan 	English Eventide
15 	Springjack Shepherd 	Creature . Kithkin Wizard 1/2 	3W 	Uncommon 	Thomas Denmark 	English Eventide
16 	Suture Spirit 	Creature . Spirit 1/1 	1W 	Uncommon 	Larry MacDougall 	English Eventide
17 	Banishing Knack 	Instant 	U 	Common 	Howard Lyon 	English Eventide
18 	Cache Raiders 	Creature . Merfolk Rogue 4/4 	3UU 	Uncommon 	Pete Venters 	English Eventide
19 	Dream Fracture 	Instant 	1UU 	Uncommon 	Howard Lyon 	English Eventide
20 	Dream Thief 	Creature . Faerie Rogue 2/1 	2U 	Common 	Howard Lyon 	English Eventide
21 	Glamerdye 	Instant 	1U 	Rare 	Ralph Horsley 	English Eventide
22 	Glen Elendra Archmage 	Creature . Faerie Wizard 2/2 	3U 	Rare 	Warren Mahy 	English Eventide
23 	Idle Thoughts 	Enchantment 	3U 	Uncommon 	Steven Belledin 	English Eventide
24 	Indigo Faerie 	Creature . Faerie Wizard 1/1 	1U 	Uncommon 	Steve Prescott 	English Eventide
25 	Inundate 	Sorcery 	3UUU 	Rare 	Mark Zug 	English Eventide
26 	Merrow Levitator 	Creature . Merfolk Wizard 2/3 	3U 	Common 	Jim Pavelec 	English Eventide
27 	Oona's Grace 	Instant 	2U 	Common 	Rebecca Guay 	English Eventide
28 	Razorfin Abolisher 	Creature . Merfolk Wizard 2/2 	2U 	Uncommon 	William O'Connor 	English Eventide
29 	Sanity Grinding 	Sorcery 	UUU 	Rare 	Lars Grant-West 	English Eventide
30 	Talonrend 	Creature . Elemental 0/5 	4U 	Uncommon 	Nils Hamm 	English Eventide
31 	Wake Thrasher 	Creature . Merfolk Soldier 1/1 	2U 	Rare 	Jesper Ejsing 	English Eventide
32 	Wilderness Hypnotist 	Creature . Merfolk Wizard 1/3 	2UU 	Common 	Rebecca Guay 	English Eventide
