1 	Allay 	Instant 	1W 	Common 	Randy Gallegos 	English Exodus
2 	Angelic Blessing 	Sorcery 	2W 	Common 	Mark Zug 	English Exodus
3 	Cataclysm 	Sorcery 	2WW 	Rare 	Jim Nelson 	English Exodus
4 	Charging Paladin 	Summon Knight 2/2 	2W 	Common 	Ciruelo 	English Exodus
5 	Convalescence 	Enchantment 	1W 	Rare 	D. Alexander Gregory 	English Exodus
6 	Exalted Dragon 	Summon Dragon 5/5 	4WW 	Rare 	Matthew Wilson 	English Exodus
7 	High Ground 	Enchantment 	W 	Uncommon 	rk post 	English Exodus
8 	Keeper of the Light 	Summon Wizard 1/2 	WW 	Uncommon 	D. Alexander Gregory 	English Exodus
9 	Kor Chant 	Instant 	2W 	Common 	John Matson 	English Exodus
10 	Limited Resources 	Enchantment 	W 	Rare 	Keith Parkinson 	English Exodus
11 	Oath of Lieges 	Enchantment 	1W 	Rare 	Mark Zug 	English Exodus
12 	Paladin en-Vec 	Summon Knight 2/2 	1WW 	Rare 	Randy Elliott 	English Exodus
13 	Peace of Mind 	Enchantment 	1W 	Uncommon 	Randy Elliott 	English Exodus
14 	Pegasus Stampede 	Sorcery 	1W 	Uncommon 	Mark Zug 	English Exodus
15 	Penance 	Enchantment 	2W 	Uncommon 	Terese Nielsen 	English Exodus
16 	Reaping the Rewards 	Instant 	W 	Common 	Heather Hudson 	English Exodus
17 	Reconnaissance 	Enchantment 	W 	Uncommon 	Val Mayerik 	English Exodus
18 	Shackles 	Enchant Creature 	2W 	Common 	Heather Hudson 	English Exodus
19 	Shield Mate 	Summon Soldier 1/1 	W 	Common 	Randy Elliott 	English Exodus
20 	Soltari Visionary 	Summon Cleric 2/2 	1WW 	Common 	Adam Rex 	English Exodus
21 	Soul Warden 	Summon Cleric 1/1 	W 	Common 	Randy Gallegos 	English Exodus
22 	Standing Troops 	Summon Soldiers 1/4 	2W 	Common 	Daren Bader 	English Exodus
23 	Treasure Hunter 	Summon Townsfolk 2/2 	2W 	Uncommon 	Adam Rex 	English Exodus
24 	Wall of Nets 	Summon Wall 0/7 	1WW 	Rare 	Terese Nielsen 	English Exodus
25 	Welkin Hawk 	Summon Bird 1/1 	1W 	Common 	Rob Alexander 	English Exodus
26 	Zealots en-Dal 	Summon Soldiers 2/4 	3W 	Uncommon 	Brom 	English Exodus
27 	Æher Tide 	Sorcery 	XU 	Common 	Andrew Robinson 	English Exodus
28 	Cunning 	Enchant Creature 	1U 	Common 	Kev Walker 	English Exodus
