1 	Abyssal Specter 	Summon Specter 2/3 	2BB 	Uncommon 	George Pratt 	English Fifth Edition
2 	Animate Dead 	Enchantment 	1B 	Uncommon 	Anson Maddocks 	English Fifth Edition
3 	Ashes to Ashes 	Sorcery 	1BB 	Uncommon 	Doug Keith 	English Fifth Edition
4 	Bad Moon 	Enchantment 	1B 	Rare 	Gary Leach 	English Fifth Edition
5 	Black Knight 	Summon Knight 2/2 	BB 	Uncommon 	Adrian Smith 	English Fifth Edition
6 	Blight 	Enchant Land 	BB 	Uncommon 	Ian Miller 	English Fifth Edition
7 	Bog Imp 	Summon Imp 1/1 	1B 	Common 	Ron Spencer 	English Fifth Edition
8 	Bog Rats 	Summon Rats 1/1 	B 	Common 	Ron Spencer 	English Fifth Edition
9 	Bog Wraith 	Summon Wraith 3/3 	3B 	Uncommon 	Jeff A. Menges 	English Fifth Edition
10 	Breeding Pit 	Enchantment 	3B 	Uncommon 	Adrian Smith 	English Fifth Edition
11 	Broken Visage 	Instant 	4B 	Rare 	Margaret Organ-Kean 	English Fifth Edition
12 	Carrion Ants 	Summon Ants 0/1 	2BB 	Uncommon 	John Coulthart 	English Fifth Edition
13 	Cloak of Confusion 	Enchant Creature 	1B 	Common 	Margaret Organ-Kean 	English Fifth Edition
14 	Cursed Land 	Enchant Land 	2BB 	Uncommon 	Jesper Myrfors 	English Fifth Edition
15 	Dark Ritual 	Mana Source 	B 	Common 	Clint Langley 	English Fifth Edition
16 	Deathgrip 	Enchantment 	BB 	Uncommon 	Anson Maddocks 	English Fifth Edition
17 	Derelor 	Summon Thrull 4/4 	3B 	Rare 	Anson Maddocks 	English Fifth Edition
18 	Drain Life 	Sorcery 	X1B 	Common 	Andrew Robinson 	English Fifth Edition
19 	Drudge Skeletons 	Summon Skeletons 1/1 	1B 	Common 	Ian Miller 	English Fifth Edition
20 	Erg Raiders 	Summon Raiders 2/3 	1B 	Common 	Stuart Griffin 	English Fifth Edition
21 	Evil Eye of Orms-by-Gore 	Summon Evil Eye 3/6 	4B 	Uncommon 	George Pratt 	English Fifth Edition
22 	Evil Presence 	Enchant Land 	B 	Uncommon 	Bob Eggleton 	English Fifth Edition
23 	Fallen Angel 	Summon Angel 3/3 	3BB 	Uncommon 	Anson Maddocks 	English Fifth Edition
24 	Fear 	Enchant Creature 	BB 	Common 	Doug Keith 	English Fifth Edition
25 	Frozen Shade 	Summon Shade 0/1 	2B 	Common 	DiTerlizzi 	English Fifth Edition
26 	Funeral March 	Enchant Creature 	1BB 	Common 	John Coulthart 	English Fifth Edition
27 	Gloom 	Enchantment 	2B 	Uncommon 	Douglas Shuler 	English Fifth Edition
28 	Greater Werewolf 	Summon Lycanthrope 2/4 	4B 	Uncommon 	Dennis Detwiller 	English Fifth Edition
29 	Hecatomb 	Enchantment 	1BB 	Rare 	George Pratt 	English Fifth Edition
30 	Howl from Beyond 	Instant 	XB 	Common 	John Coulthart 	English Fifth Edition
31 	Initiates of the Ebon Hand 	Summon Clerics 1/1 	B 	Common 	Heather Hudson 	English Fifth Edition
32 	Kjeldoran Dead 	Summon Dead 3/1 	B 	Common 	Melissa A. Benson 	English Fifth Edition
33 	Knight of Stromgald 	Summon Knight 2/1 	BB 	Uncommon 	Mark Poole 	English Fifth Edition
34 	Krovikan Fetish 	Enchant Creature 	2B 	Common 	Heather Hudson 	English Fifth Edition
35 	Leshrac's Rite 	Enchant Creature 	B 	Uncommon 	Mike Raabe 	English Fifth Edition
36 	Lord of the Pit 	Summon Demon 7/7 	4BBB 	Rare 	Mark Tedin 	English Fifth Edition
37 	Lost Soul 	Summon Lost Soul 2/1 	1BB 	Common 	Randy Asplund 	English Fifth Edition
38 	Mind Ravel 	Sorcery 	2B 	Common 	Mark Tedin 	English Fifth Edition
39 	Mind Warp 	Sorcery 	X3B 	Uncommon 	Liz Danforth 	English Fifth Edition
40 	Mindstab Thrull 	Summon Thrull 2/2 	1BB 	Common 	Mark Tedin 	English Fifth Edition
41 	Mole Worms 	Summon Worms 1/1 	2B 	Uncommon 	Adrian Smith 	English Fifth Edition
42 	Murk Dwellers 	Summon Murk Dwellers 2/2 	3B 	Common 	Drew Tucker 	English Fifth Edition
43 	Necrite 	Summon Thrull 2/2 	1BB 	Common 	Ron Spencer 	English Fifth Edition
44 	Necropotence 	Enchantment 	BBB 	Rare 	Mark Tedin 	English Fifth Edition
45 	Nether Shadow 	Summon Shadow 1/1 	BB 	Rare 	DiTerlizzi 	English Fifth Edition
46 	Nightmare 	Summon Nightmare */* 	5B 	Rare 	Melissa A. Benson 	English Fifth Edition
47 	Paralyze 	Enchant Creature 	B 	Common 	Ron Spencer 	English Fifth Edition
48 	Pestilence 	Enchantment 	2BB 	Common 	Kev Walker 	English Fifth Edition
49 	Pit Scorpion 	Summon Scorpion 1/1 	2B 	Common 	Ian Miller 	English Fifth Edition
50 	Plague Rats 	Summon Rats */* 	2B 	Common 	Anson Maddocks 	English Fifth Edition
51 	Pox 	Sorcery 	BBB 	Rare 	Scott M. Fischer 	English Fifth Edition
