1 	Abuna's Chant 	Instant 	3W 	Common 	John Matson 	English Fifth Dawn
2 	Armed Response 	Instant 	2W 	Common 	Doug Chaffee 	English Fifth Dawn
3 	Auriok Champion 	Creature - Human Cleric 1/1 	WW 	Rare 	Michael Sutfin 	English Fifth Dawn
4 	Auriok Salvagers 	Creature - Human Soldier 2/4 	3W 	Uncommon 	Randy Gallegos 	English Fifth Dawn
5 	Auriok Windwalker 	Creature - Human Wizard 2/3 	3W 	Rare 	Jeremy Jarvis 	English Fifth Dawn
6 	Beacon of Immortality 	Instant 	5W 	Rare 	Rob Alexander 	English Fifth Dawn
7 	Bringer of the White Dawn 	Creature - Bringer 5/5 	7WW 	Rare 	Kev Walker 	English Fifth Dawn
8 	Circle of Protection: Artifacts 	Enchantment 	1W 	Uncommon 	Terese Nielsen 	English Fifth Dawn
9 	Leonin Squire 	Creature - Cat Soldier 2/2 	1W 	Common 	Pete Venters 	English Fifth Dawn
10 	Loxodon Anchorite 	Creature - Elephant Cleric 2/3 	2WW 	Common 	Jim Nelson 	English Fifth Dawn
11 	Loxodon Stalwart 	Creature - Elephant Soldier 3/3 	3WW 	Uncommon 	Paolo Parente 	English Fifth Dawn
12 	Raksha Golden Cub 	Creature - Cat Soldier Legend 3/4 	5WW 	Rare 	Pete Venters 	English Fifth Dawn
13 	Retaliate 	Instant 	2WW 	Rare 	Vance Kovacs 	English Fifth Dawn
14 	Roar of Reclamation 	Sorcery 	5WW 	Rare 	Justin Sweet 	English Fifth Dawn
15 	Skyhunter Prowler 	Creature - Cat Knight 1/3 	2W 	Common 	Vance Kovacs 	English Fifth Dawn
16 	Skyhunter Skirmisher 	Creature - Cat Knight 1/1 	1WW 	Uncommon 	Greg Staples 	English Fifth Dawn
17 	Stand Firm 	Instant 	W 	Common 	Matt Cavotta 	English Fifth Dawn
18 	Stasis Cocoon 	Enchant Artifact 	1W 	Common 	Kev Walker 	English Fifth Dawn
19 	Steelshaper's Gift 	Sorcery 	W 	Uncommon 	Tim Hildebrandt 	English Fifth Dawn
20 	Vanquish 	Instant 	2W 	Uncommon 	Carl Critchlow 	English Fifth Dawn
