1 	Angel of Salvation 	Creature . Angel 5/5 	6WW 	Rare 	D. Alexander Gregory 	English Future Sight
2 	Augur il-Vec 	Creature . Human Cleric 1/3 	1W 	Common 	Daren Bader 	English Future Sight
3 	Barren Glory 	Enchantment 	4WW 	Rare 	Dave Kendall 	English Future Sight
4 	Chronomantic Escape 	Sorcery 	4WW 	Uncommon 	Franz Vohwinkel 	English Future Sight
5 	Dust of Moments 	Instant 	2W 	Uncommon 	Zoltan Boros & Gabor Szikszai 	English Future Sight
6 	Even the Odds 	Instant 	2W 	Uncommon 	Shishizaru 	English Future Sight
7 	Gift of Granite 	Enchantment . Aura 	W 	Common 	Hideaki Takamura 	English Future Sight
8 	Intervention Pact 	Instant 	0 	Rare 	Dave Kendall 	English Future Sight
9 	Judge Unworthy 	Instant 	1W 	Common 	Greg Staples 	English Future Sight
10 	Knight of Sursi 	Creature . Human Knight 2/2 	3W 	Common 	Cyril Van Der Haegen 	English Future Sight
11 	Lost Auramancers 	Creature . Human Wizard 3/3 	2WW 	Uncommon 	Brandon Kitkouski 	English Future Sight
12 	Magus of the Moat 	Creature . Human Wizard 0/3 	2WW 	Rare 	John Avon 	English Future Sight
13 	Marshaling Cry 	Sorcery 	1WW 	Common 	Vance Kovacs 	English Future Sight
14 	Saltskitter 	Creature . Wurm 3/4 	3W 	Common 	Chippy 	English Future Sight
15 	Samite Censer-Bearer 	Creature . Human Rebel Cleric 1/1 	W 	Common 	William Simpson 	English Future Sight
16 	Scout's Warning 	Instant 	W 	Rare 	Zoltan Boros & Gabor Szikszai 	English Future Sight
17 	Spirit en-Dal 	Creature . Spirit 2/1 	2W 	Uncommon 	Daren Bader 	English Future Sight
18 	Aven Mindcensor 	Creature . Bird Wizard 2/1 	2W 	Uncommon 	Rebecca Guay 	English Future Sight
19 	Blade of the Sixth Pride 	Creature . Cat Rebel 3/1 	1W 	Common 	Justin Sweet 	English Future Sight
20 	Bound in Silence 	Tribal Enchantment . Rebel Aura 	2W 	Uncommon 	William Simpson 	English Future Sight
21 	Daybreak Coronet 	Enchantment . Aura 	WW 	Rare 	Scott Hampton 	English Future Sight
22 	Goldmeadow Lookout 	Creature . Kithkin Spellshaper 2/2 	3W 	Uncommon 	Steve Prescott 	English Future Sight
23 	Imperial Mask 	Enchantment 	4W 	Rare 	Christopher Moeller 	English Future Sight
