1 	Alabaster Leech 	Creature - Leech 1/3 	W 	Rare 	Edward P. Beard, Jr. 	English Invasion
2 	Angel of Mercy 	Creature - Angel 3/3 	4W 	Uncommon 	Mark Tedin 	English Invasion
3 	Ardent Soldier 	Creature - Soldier 1/2 	1W 	Common 	Paolo Parente 	English Invasion
4 	Atalya, Samite Master 	Creature - Cleric Legend 2/3 	3WW 	Rare 	Rebecca Guay 	English Invasion
5 	Benalish Emissary 	Creature - Wizard 1/4 	2W 	Uncommon 	Randy Gallegos 	English Invasion
6 	Benalish Heralds 	Creature - Soldier 2/4 	3W 	Uncommon 	Don Hazeltine 	English Invasion
7 	Benalish Lancer 	Creature - Knight 2/2 	2W 	Common 	Paolo Parente 	English Invasion
8 	Benalish Trapper 	Creature - Soldier 1/2 	1W 	Common 	Ken Meyer, Jr. 	English Invasion
9 	Blinding Light 	Sorcery 	2W 	Uncommon 	Marc Fishman 	English Invasion
10 	Capashen Unicorn 	Creature - Unicorn 1/2 	1W 	Common 	Jerry Tiritilli 	English Invasion
11 	Crimson Acolyte 	Creature - Cleric 1/1 	1W 	Common 	Orizio Daniele 	English Invasion
12 	Crusading Knight 	Creature - Knight 2/2 	2WW 	Rare 	Edward P. Beard, Jr. 	English Invasion
13 	Death or Glory 	Sorcery 	4W 	Rare 	Jeff Easley 	English Invasion
14 	Dismantling Blow 	Instant 	2W 	Common 	Mark Tedin 	English Invasion
15 	Divine Presence 	Enchantment 	2W 	Rare 	Ron Spears 	English Invasion
16 	Fight or Flight 	Enchantment 	3W 	Rare 	Randy Gallegos 	English Invasion
17 	Glimmering Angel 	Creature - Angel 2/2 	3W 	Common 	Ciruelo 	English Invasion
18 	Global Ruin 	Sorcery 	4W 	Rare 	Greg Staples 	English Invasion
19 	Harsh Judgment 	Enchantment 	2WW 	Rare 	Carl Critchlow 	English Invasion
20 	Holy Day 	Instant 	W 	Common 	Pete Venters 	English Invasion
21 	Liberate 	Instant 	1W 	Uncommon 	Alan Pollack 	English Invasion
22 	Obsidian Acolyte 	Creature - Cleric 1/1 	1W 	Common 	Matthew D. Wilson 	English Invasion
23 	Orim's Touch 	Instant 	W 	Common 	Roger Raupp 	English Invasion
24 	Pledge of Loyalty 	Enchant Creature 	1W 	Uncommon 	Franz Vohwinkel 	English Invasion
25 	Prison Barricade 	Creature - Wall 1/3 	1W 	Common 	Thomas Gianni 	English Invasion
26 	Protective Sphere 	Enchantment 	2W 	Common 	Rebecca Guay 	English Invasion
27 	Pure Reflection 	Enchantment 	2W 	Rare 	Scott M. Fischer 	English Invasion
28 	Rampant Elephant 	Creature - Elephant 2/2 	3W 	Common 	Alan Pollack 	English Invasion
29 	Razorfoot Griffin 	Creature - Griffin 2/2 	3W 	Common 	Ben Thompson 	English Invasion
30 	Restrain 	Instant 	2W 	Common 	Dave Dorman 	English Invasion
31 	Reviving Dose 	Instant 	2W 	Common 	D. Alexander Gregory 	English Invasion
32 	Rewards of Diversity 	Enchantment 	2W 	Uncommon 	Darrell Riche 	English Invasion
33 	Reya Dawnbringer 	Creature - Angel Legend 4/6 	6WWW 	Rare 	Matthew D. Wilson 	English Invasion
34 	Rout 	Sorcery 	3WW 	Rare 	Ron Spencer 	English Invasion
35 	Ruham Djinn 	Creature - Djinn 5/5 	5W 	Uncommon 	Jeff Easley 	English Invasion
36 	Samite Ministration 	Instant 	1W 	Uncommon 	Darrell Riche 	English Invasion
37 	Shackles 	Enchant Creature 	2W 	Common 	Greg Staples 	English Invasion
38 	Spirit of Resistance 	Enchantment 	2W 	Rare 	John Avon 	English Invasion
39 	Spirit Weaver 	Creature - Wizard 2/1 	1W 	Uncommon 	Matthew D. Wilson 	English Invasion
40 	Strength of Unity 	Enchant Creature 	3W 	Common 	Andrew Goldhawk 	English Invasion
41 	Sunscape Apprentice 	Creature - Wizard 1/1 	W 	Common 	Stephanie Law 	English Invasion
42 	Sunscape Master 	Creature - Wizard 2/2 	2WW 	Rare 	Alan Rabinowitz 	English Invasion
43 	Teferi's Care 	Enchantment 	2W 	Uncommon 	Scott Bailey 	English Invasion
44 	Wayfaring Giant 	Creature - Giant 1/3 	5W 	Uncommon 	Christopher Moeller 	English Invasion
45 	Winnow 	Instant 	1W 	Rare 	Roger Raupp 	English Invasion
46 	Barrin's Unmaking 	Instant 	1U 	Common 	Luca Zontini 	English Invasion
47 	Blind Seer 	Creature - Legend 3/3 	2UU 	Rare 	Dave Dorman 	English Invasion
48 	Breaking Wave 	Sorcery 	2UU 	Rare 	Carl Critchlow 	English Invasion
49 	Collective Restraint 	Enchantment 	3U 	Rare 	Alan Rabinowitz 	English Invasion
50 	Crystal Spray 	Instant 	2U 	Rare 	Jeff Miracola 	English Invasion
51 	Disrupt 	Instant 	U 	Uncommon 	Paolo Parente 	English Invasion
52 	Distorting Wake 	Sorcery 	XUUU 	Rare 	Arnie Swekel 	English Invasion
53 	Dream Thrush 	Creature - Bird 1/1 	1U 	Common 	D. J. Cleland-Hura 	English Invasion
54 	Empress Galina 	Creature - Legend 1/3 	3UU 	Rare 	Matt Cavotta 	English Invasion
55 	Essence Leak 	Enchant Permanent 	U 	Uncommon 	Adam Rex 	English Invasion
56 	Exclude 	Instant 	2U 	Common 	Mark Romanoski 	English Invasion
57 	Fact or Fiction 	Instant 	3U 	Uncommon 	Terese Nielsen 	English Invasion
58 	Faerie Squadron 	Creature - Faerie 1/1 	U 	Common 	rk post 	English Invasion
59 	Mana Maze 	Enchantment 	1U 	Rare 	Rebecca Guay 	English Invasion
60 	Manipulate Fate 	Sorcery 	1U 	Uncommon 	John Matson 	English Invasion
61 	Metathran Aerostat 	Creature - Ship 2/2 	2UU 	Rare 	Greg Staples 	English Invasion
62 	Metathran Transport 	Creature - Ship 1/3 	1UU 	Uncommon 	Glen Angus 	English Invasion
63 	Metathran Zombie 	Creature - Zombie 1/1 	1U 	Common 	Arnie Swekel 	English Invasion
64 	Opt 	Instant 	U 	Common 	John Howe 	English Invasion
65 	Phantasmal Terrain 	Enchant Land 	UU 	Common 	Dana Knutson 	English Invasion
66 	Probe 	Sorcery 	2U 	Common 	Eric Peterson 	English Invasion
67 	Prohibit 	Instant 	1U 	Common 	Adam Rex 	English Invasion
68 	Psychic Battle 	Enchantment 	3UU 	Rare 	Ray Lago 	English Invasion
69 	Rainbow Crow 	Creature - Bird 2/2 	3U 	Uncommon 	Edward P. Beard, Jr. 	English Invasion
70 	Repulse 	Instant 	2U 	Common 	Aaron Boyd 	English Invasion
71 	Sapphire Leech 	Creature - Leech 2/2 	1U 	Rare 	Ron Spencer 	English Invasion
72 	Shimmering Wings 	Enchant Creature 	U 	Common 	Carl Critchlow 	English Invasion
73 	Shoreline Raider 	Creature - Merfolk 2/2 	2U 	Common 	Nelson DeCastro 	English Invasion
74 	Sky Weaver 	Creature - Wizard 2/1 	1U 	Uncommon 	Christopher Moeller 	English Invasion
