1 	Akroma, Angel of Wrath 	Creature - Angel Legend 6/6 	5WWW 	Rare 	Ron Spears 	English Legions
2 	Akroma's Devoted 	Creature - Cleric 2/4 	3W 	Uncommon 	Dave Dorman 	English Legions
3 	Aven Redeemer 	Creature - Bird Cleric 2/2 	3W 	Common 	Tim Hildebrandt 	English Legions
4 	Aven Warhawk 	Creature - Bird Soldier 2/2 	4W 	Uncommon 	Glen Angus 	English Legions
5 	Beacon of Destiny 	Creature - Cleric 1/3 	1W 	Rare 	Tim Hildebrandt 	English Legions
6 	Celestial Gatekeeper 	Creature - Bird Cleric 2/2 	3WW 	Rare 	Christopher Moeller 	English Legions
7 	Cloudreach Cavalry 	Creature - Soldier 1/1 	1W 	Uncommon 	Kev Walker 	English Legions
8 	Daru Mender 	Creature - Cleric 1/1 	W 	Uncommon 	Ben Thompson 	English Legions
9 	Daru Sanctifier 	Creature - Cleric 1/4 	3W 	Common 	Tony Szczudlo 	English Legions
10 	Daru Stinger 	Creature - Soldier 1/1 	3W 	Common 	Greg Staples 	English Legions
11 	Defender of the Order 	Creature - Cleric 2/4 	3W 	Rare 	Darrell Riche 	English Legions
12 	Deftblade Elite 	Creature - Soldier 1/1 	W 	Common 	Alan Pollack 	English Legions
13 	Essence Sliver 	Creature - Sliver 3/3 	3W 	Rare 	Glen Angus 	English Legions
14 	Gempalm Avenger 	Creature - Soldier 3/5 	5W 	Common 	Tim Hildebrandt 	English Legions
15 	Glowrider 	Creature - Cleric 2/1 	2W 	Rare 	Scott M. Fischer 	English Legions
16 	Liege of the Axe 	Creature - Soldier 2/3 	3W 	Uncommon 	Christopher Moeller 	English Legions
17 	Lowland Tracker 	Creature - Soldier 2/2 	4W 	Common 	Brian Snõ 	English Legions
18 	Planar Guide 	Creature - Cleric 1/1 	W 	Rare 	Eric Peterson 	English Legions
19 	Plated Sliver 	Creature - Sliver 1/1 	W 	Common 	Greg Staples 	English Legions
20 	Starlight Invoker 	Creature - Cleric Mutant 1/3 	1W 	Common 	Glen Angus 	English Legions
21 	Stoic Champion 	Creature - Soldier 2/2 	WW 	Uncommon 	Greg Hildebrandt 	English Legions
22 	Sunstrike Legionnaire 	Creature - Soldier 1/2 	1W 	Rare 	Mark Zug 	English Legions
23 	Swooping Talon 	Creature - Bird Soldier 2/6 	4WW 	Uncommon 	Mark Zug 	English Legions
24 	Wall of Hope 	Creature - Wall 0/3 	W 	Common 	David Martin 	English Legions
25 	Ward Sliver 	Creature - Sliver 2/2 	4W 	Uncommon 	Pete Venters 	English Legions
26 	Whipgrass Entangler 	Creature - Cleric 1/3 	2W 	Common 	Ben Thompson 	English Legions
27 	White Knight 	Creature - Knight 2/2 	WW 	Uncommon 	Edward P. Beard, Jr. 	English Legions
