1 	Abyssal Hunter 	Summon Hunter 1/1 	3B 	Rare 	Steve Luke 	English Mirage
2 	Ashen Powder 	Sorcery 	2BB 	Rare 	Geofrey Darrow 	English Mirage
3 	Barbed-Back Wurm 	Summon Wurm 4/3 	4B 	Uncommon 	Gary Leach 	English Mirage
4 	Binding Agony 	Enchant Creature 	1B 	Common 	Robert Bliss 	English Mirage
5 	Blighted Shaman 	Summon Cleric 1/1 	1B 	Uncommon 	Ian Miller 	English Mirage
6 	Bone Harvest 	Instant 	2B 	Common 	Greg Simanson 	English Mirage
7 	Breathstealer 	Summon Night Stalker 2/2 	2B 	Common 	Cliff Nielsen 	English Mirage
8 	Cadaverous Knight 	Summon Knight 2/2 	2B 	Common 	Dermot Power 	English Mirage
9 	Carrion 	Instant 	1BB 	Rare 	Geofrey Darrow 	English Mirage
10 	Catacomb Dragon 	Summon Dragon 4/4 	4BB 	Rare 	David O'Connor 	English Mirage
11 	Choking Sands 	Sorcery 	1BB 	Common 	Roger Raupp 	English Mirage
12 	Crypt Cobra 	Summon Cobra 3/3 	3B 	Uncommon 	Ron Spencer 	English Mirage
13 	Dark Banishing 	Instant 	2B 	Common 	Dermot Power 	English Mirage
14 	Dark Ritual 	Mana Source 	B 	Common 	John Coulthart 	English Mirage
15 	Dirtwater Wraith 	Summon Wraith 1/3 	3B 	Common 	Steve Luke 	English Mirage
16 	Drain Life 	Sorcery 	X1B 	Common 	Richard Kane Ferguson 	English Mirage
17 	Dread Specter 	Summon Specter 2/2 	3B 	Uncommon 	Kathryn Rathke 	English Mirage
18 	Ebony Charm 	Instant 	B 	Common 	Gerry Grace 	English Mirage
19 	Enfeeblement 	Enchant Creature 	BB 	Common 	John Bolton 	English Mirage
20 	Feral Shadow 	Summon Night Stalker 2/1 	2B 	Common 	Cliff Nielsen 	English Mirage
21 	Fetid Horror 	Summon Shade 1/2 	3B 	Common 	Gary Leach 	English Mirage
22 	Forbidden Crypt 	Enchantment 	3BB 	Rare 	D. Alexander Gregory 	English Mirage
23 	Forsaken Wastes 	Enchant World 	2B 	Rare 	Kev Walker 	English Mirage
24 	Grave Servitude 	Enchant Creature 	1B 	Common 	Adrian Smith 	English Mirage
25 	Gravebane Zombie 	Summon Zombie 3/2 	3B 	Common 	Gary Leach 	English Mirage
26 	Harbinger of Night 	Summon Spirit 2/3 	2BB 	Rare 	Tom Kyffin 	English Mirage
27 	Infernal Contract 	Sorcery 	BBB 	Rare 	Roger Raupp 	English Mirage
28 	Kaervek's Hex 	Sorcery 	3B 	Uncommon 	Ian Miller 	English Mirage
29 	Mire Shade 	Summon Shade 1/1 	1B 	Uncommon 	Randy Gallegos 	English Mirage
30 	Nocturnal Raid 	Instant 	2BB 	Uncommon 	John Matson 	English Mirage
31 	Painful Memories 	Sorcery 	1B 	Uncommon 	John Coulthart 	English Mirage
32 	Phyrexian Tribute 	Sorcery 	2B 	Rare 	John Matson 	English Mirage
33 	Purraj of Urborg 	Summon Legend 2/3 	3BB 	Rare 	John Matson 	English Mirage
34 	Ravenous Vampire 	Summon Vampire 3/3 	3BB 	Uncommon 	John Bolton 	English Mirage
35 	Reign of Terror 	Sorcery 	3BB 	Uncommon 	Gary Leach 	English Mirage
36 	Restless Dead 	Summon Skeletons 1/1 	1B 	Common 	Ian Miller 	English Mirage
37 	Sewer Rats 	Summon Rats 1/1 	B 	Common 	Martin McKenna 	English Mirage
38 	Shadow Guildmage 	Summon Wizard 1/1 	B 	Common 	Mike Kimble 	English Mirage
39 	Shallow Grave 	Instant 	1B 	Rare 	John Coulthart 	English Mirage
40 	Shauku, Endbringer 	Summon Legend 5/5 	5BB 	Rare 	Pete Venters 	English Mirage
41 	Skulking Ghost 	Summon Ghost 2/1 	1B 	Common 	Robert Bliss 	English Mirage
42 	Soul Rend 	Instant 	1B 	Uncommon 	Jeff Miracola 	English Mirage
43 	Soulshriek 	Instant 	B 	Common 	John Bolton 	English Mirage
44 	Spirit of the Night 	Summon Legend 6/5 	6BBB 	Rare 	Cliff Nielsen 	English Mirage
45 	Stupor 	Sorcery 	2B 	Uncommon 	Mike Kimble 	English Mirage
46 	Tainted Specter 	Summon Specter 2/2 	3B 	Rare 	Chippy 	English Mirage
47 	Tombstone Stairwell 	Enchant World 	2BB 	Rare 	Dom 	English Mirage
48 	Urborg Panther 	Summon Night Stalker 2/2 	2B 	Common 	Cliff Nielsen 	English Mirage
49 	Wall of Corpses 	Summon Wall 0/2 	1B 	Common 	Gary Leach 	English Mirage
50 	Withering Boon 	Interrupt 	1B 	Uncommon 	Robert Bliss 	English Mirage
51 	Zombie Mob 	Summon Zombies 2/0 	2BB 	Uncommon 	Terese Nielsen 	English Mirage
52 	Ancestral Memories 	Sorcery 	2UUU 	Rare 	William Donohoe 	English Mirage
53 	Azimaet Drake 	Summon Drake 1/3 	2U 	Common 	Gerry Grace 	English Mirage
54 	Bay Falcon 	Summon Falcon 1/1 	1U 	Common 	Una Fricker 	English Mirage
55 	Bazaar of Wonders 	Enchant World 	3UU 	Rare 	Liz Danforth 	English Mirage
56 	Boomerang 	Instant 	UU 	Common 	Richard Kane Ferguson 	English Mirage
57 	Cerulean Wyvern 	Summon Wyvern 3/3 	4U 	Uncommon 	Gerry Grace 	English Mirage
58 	Cloak of Invisibility 	Enchant Creature 	U 	Common 	John Coulthart 	English Mirage
59 	Coral Fighters 	Summon Merfolk 1/1 	1U 	Uncommon 	Steve Luke 	English Mirage
60 	Daring Apprentice 	Summon Wizard 1/1 	1UU 	Rare 	Kaja Foglio 	English Mirage
61 	Dissipate 	Interrupt 	1UU 	Uncommon 	Richard Kane Ferguson 	English Mirage
62 	Dream Cache 	Sorcery 	2U 	Common 	D. Alexander Gregory 	English Mirage
63 	Dream Fighter 	Summon Soldier 1/1 	2U 	Common 	Drew Tucker 	English Mirage
64 	Energy Vortex 	Enchantment 	3UU 	Rare 	Tom Wärstrand 	English Mirage
65 	Ether Well 	Instant 	3U 	Uncommon 	Charles Gillespie 	English Mirage
66 	Flash 	Instant 	1U 	Rare 	David Ho 	English Mirage
67 	Floodgate 	Summon Wall 0/5 	3U 	Uncommon 	Jeff Miracola 	English Mirage
68 	Hakim, Loreweaver 	Summon Legend 2/4 	3UU 	Rare 	Alan Rabinowitz 	English Mirage
69 	Harmattan Efreet 	Summon Efreet 2/2 	2UU 	Uncommon 	Drew Tucker 	English Mirage
70 	Jolt 	Instant 	2U 	Common 	John Matson 	English Mirage
71 	Kukemssa Pirates 	Summon Pirates 2/2 	3U 	Rare 	JOCK 	English Mirage
72 	Kukemssa Serpent 	Summon Serpent 4/3 	3U 	Common 	Ian Miller 	English Mirage
73 	Meddle 	Interrupt 	1U 	Uncommon 	Brian Snõ 	English Mirage
74 	Memory Lapse 	Interrupt 	1U 	Common 	Rebecca Guay 	English Mirage
75 	Merfolk Raiders 	Summon Merfolk 2/3 	1U 	Common 	Steve Luke 	English Mirage
76 	Merfolk Seer 	Summon Merfolk 2/2 	2U 	Common 	Steve Luke 	English Mirage
77 	Mind Bend 	Instant 	U 	Uncommon 	Mike Dringenberg 	English Mirage
78 	Mind Harness 	Enchant Creature 	U 	Uncommon 	John Malloy 	English Mirage
79 	Mist Dragon 	Summon Dragon 4/4 	4UU 	Rare 	Al Davidson 	English Mirage
80 	Mystical Tutor 	Instant 	U 	Uncommon 	David O'Connor 	English Mirage
