1 	Altar's Light 	Instant 	2WW 	Uncommon 	Daren Bader 	English Mirrodin
2 	Arrest 	Enchant Creature 	2W 	Common 	Tim Hildebrandt 	English Mirrodin
3 	Auriok Bladewarden 	Creature - Human Soldier 1/1 	1W 	Uncommon 	Dave Dorman 	English Mirrodin
4 	Auriok Steelshaper 	Creature - Human Soldier 1/1 	1W 	Rare 	Dany Orizio 	English Mirrodin
5 	Auriok Transfixer 	Creature - Human Scout 1/1 	W 	Common 	Stephen Tappin 	English Mirrodin
6 	Awe Strike 	Instant 	W 	Common 	Scott M. Fischer 	English Mirrodin
7 	Blinding Beam 	Instant 	2W 	Common 	Doug Chaffee 	English Mirrodin
8 	Leonin Abunas 	Creature - Cat Cleric 2/5 	3W 	Rare 	Darrell Riche 	English Mirrodin
9 	Leonin Den-Guard 	Creature - Cat Soldier 1/3 	1W 	Common 	Todd Lockwood 	English Mirrodin
10 	Leonin Elder 	Creature - Cat Cleric 1/1 	W 	Common 	Todd Lockwood 	English Mirrodin
11 	Leonin Skyhunter 	Creature - Cat Knight 2/2 	WW 	Uncommon 	Kev Walker 	English Mirrodin
12 	Loxodon Mender 	Creature - Elephant Cleric 3/3 	5W 	Common 	Heather Hudson 	English Mirrodin
13 	Loxodon Peacekeeper 	Creature - Elephant Soldier 4/4 	1W 	Rare 	Michael Sutfin 	English Mirrodin
14 	Loxodon Punisher 	Creature - Elephant Soldier 2/2 	3W 	Rare 	Terese Nielsen 	English Mirrodin
15 	Luminous Angel 	Creature - Angel 4/4 	4WWW 	Rare 	Matthew D. Wilson 	English Mirrodin
16 	Raise the Alarm 	Instant 	1W 	Common 	John Matson 	English Mirrodin
17 	Razor Barrier 	Instant 	1W 	Common 	Ron Spencer 	English Mirrodin
18 	Roar of the Kha 	Instant 	1W 	Uncommon 	Matt Cavotta 	English Mirrodin
19 	Rule of Law 	Enchantment 	2W 	Rare 	Scott M. Fischer 	English Mirrodin
20 	Second Sunrise 	Instant 	1WW 	Rare 	Greg Staples 	English Mirrodin
21 	Skyhunter Cub 	Creature - Cat Knight 2/2 	2W 	Common 	Pete Venters 	English Mirrodin
22 	Skyhunter Patrol 	Creature - Cat Knight 2/3 	2WW 	Common 	Matt Cavotta 	English Mirrodin
23 	Slith Ascendant 	Creature - Slith 1/1 	1WW 	Uncommon 	Justin Sweet 	English Mirrodin
24 	Solar Tide 	Sorcery 	4WW 	Rare 	Dave Dorman 	English Mirrodin
25 	Soul Nova 	Instant 	3WW 	Uncommon 	Keith Garletts 	English Mirrodin
26 	Sphere of Purity 	Enchantment 	3W 	Common 	Thomas Gianni 	English Mirrodin
27 	Taj-Nar Swordsmith 	Creature - Cat Soldier 2/3 	3W 	Uncommon 	Todd Lockwood 	English Mirrodin
28 	Tempest of Light 	Instant 	2W 	Uncommon 	Wayne England 	English Mirrodin
29 	Annul 	Instant 	U 	Common 	Brian Snõ 	English Mirrodin
30 	Assert Authority 	Instant 	5UU 	Uncommon 	Greg Hildebrandt 	English Mirrodin
31 	Broodstar 	Creature - Beast */* 	8UU 	Rare 	Glen Angus 	English Mirrodin
32 	Disarm 	Instant 	U 	Common 	Alex Horley-Orlandelli 	English Mirrodin
33 	Domineer 	Enchant Artifact Creature 	1UU 	Uncommon 	Jon Foster 	English Mirrodin
34 	Dream's Grip 	Instant 	U 	Common 	Jim Nelson 	English Mirrodin
35 	Fabricate 	Sorcery 	2U 	Uncommon 	Glen Angus 	English Mirrodin
36 	Fatespinner 	Creature - Human Wizard 1/2 	1UU 	Rare 	rk post 	English Mirrodin
37 	Inertia Bubble 	Enchant Artifact 	1U 	Common 	Hugh Jamieson 	English Mirrodin
38 	Looming Hoverguard 	Creature - Drone 3/3 	4UU 	Uncommon 	Scott M. Fischer 	English Mirrodin
39 	Lumengrid Augur 	Creature - Vedalken Wizard 2/2 	3U 	Rare 	rk post 	English Mirrodin
40 	Lumengrid Sentinel 	Creature - Human Wizard 1/2 	2U 	Uncommon 	Scott M. Fischer 	English Mirrodin
41 	Lumengrid Warden 	Creature - Human Wizard 1/3 	1U 	Common 	Matt Thompson 	English Mirrodin
42 	March of the Machines 	Enchantment 	3U 	Rare 	Ben Thompson 	English Mirrodin
43 	Neurok Familiar 	Creature - Bird 1/1 	1U 	Common 	Edward P. Beard, Jr. 	English Mirrodin
44 	Neurok Spy 	Creature - Human Rogue 2/2 	2U 	Common 	Daren Bader 	English Mirrodin
45 	Override 	Instant 	2U 	Common 	Hugh Jamieson 	English Mirrodin
46 	Psychic Membrane 	Creature - Wall 0/3 	2U 	Uncommon 	Tony Szczudlo 	English Mirrodin
47 	Quicksilver Elemental 	Creature - Elemental 3/4 	3UU 	Rare 	Tony Szczudlo 	English Mirrodin
48 	Regress 	Instant 	2U 	Common 	Randy Gallegos 	English Mirrodin
49 	Shared Fate 	Enchantment 	4U 	Rare 	Matt Cavotta 	English Mirrodin
50 	Slith Strider 	Creature - Slith 1/1 	1UU 	Uncommon 	Justin Sweet 	English Mirrodin
51 	Somber Hoverguard 	Creature - Drone 3/2 	5U 	Common 	Adam Rex 	English Mirrodin
52 	Temporal Cascade 	Sorcery 	5UU 	Rare 	Puddnhead 	English Mirrodin
53 	Thirst for Knowledge 	Instant 	2U 	Uncommon 	Ben Thompson 	English Mirrodin
54 	Thoughtcast 	Sorcery 	4U 	Common 	Greg Hildebrandt 	English Mirrodin
55 	Vedalken Archmage 	Creature - Vedalken Wizard 0/2 	2UU 	Rare 	Kev Walker 	English Mirrodin
56 	Wanderguard Sentry 	Creature - Drone 3/3 	4U 	Common 	Luca Zontini 	English Mirrodin
57 	Barter in Blood 	Sorcery 	2BB 	Uncommon 	Paolo Parente 	English Mirrodin
