1 	Ballyrush Banneret 	Creature . Kithkin Soldier 2/1 	1W 	Common 	Ralph Horsley 	English Morningtide
2 	Battletide Alchemist 	Creature . Kithkin Cleric 3/4 	3WW 	Rare 	Steve Prescott 	English Morningtide
3 	Burrenton Bombardier 	Creature . Kithkin Soldier 2/2 	2W 	Common 	Ron Spencer 	English Morningtide
4 	Burrenton Shield-Bearers 	Creature . Kithkin Soldier 3/3 	4W 	Common 	Daren Bader 	English Morningtide
5 	Cenn's Tactician 	Creature . Kithkin Soldier 1/1 	W 	Uncommon 	Zoltan Boros & Gabor Szikszai 	English Morningtide
6 	Changeling Sentinel 	Creature . Shapeshifter 3/2 	3W 	Common 	Chuck Lukacs 	English Morningtide
7 	Coordinated Barrage 	Instant 	W 	Common 	Franz Vohwinkel 	English Morningtide
8 	Daily Regimen 	Enchantment . Aura 	W 	Uncommon 	Warren Mahy 	English Morningtide
9 	Feudkiller's Verdict 	Tribal Sorcery . Giant 	4WW 	Rare 	Dan Scott 	English Morningtide
10 	Forfend 	Instant 	1W 	Common 	Franz Vohwinkel 	English Morningtide
11 	Graceful Reprieve 	Instant 	1W 	Uncommon 	William O'Connor 	English Morningtide
12 	Idyllic Tutor 	Sorcery 	2W 	Rare 	Howard Lyon 	English Morningtide
13 	Indomitable Ancients 	Creature . Treefolk Warrior 2/10 	2WW 	Rare 	Pete Venters 	English Morningtide
14 	Kinsbaile Borderguard 	Creature . Kithkin Soldier 1/1 	1WW 	Rare 	Christopher Moeller 	English Morningtide
15 	Kinsbaile Cavalier 	Creature . Kithkin Knight 2/2 	3W 	Rare 	Wayne Reynolds 	English Morningtide
16 	Kithkin Zephyrnaut 	Creature . Kithkin Soldier 2/2 	2W 	Common 	Quinton Hoover & Val Mayerik 	English Morningtide
17 	Meadowboon 	Creature . Elemental 3/3 	2WW 	Uncommon 	Steven Belledin 	English Morningtide
18 	Mosquito Guard 	Creature . Kithkin Soldier 1/1 	W 	Common 	Randy Gallegos 	English Morningtide
19 	Order of the Golden Cricket 	Creature . Kithkin Knight 2/2 	1W 	Common 	Mark Zug 	English Morningtide
20 	Preeminent Captain 	Creature . Kithkin Soldier 2/2 	2W 	Rare 	Greg Staples 	English Morningtide
21 	Redeem the Lost 	Instant 	1W 	Uncommon 	Scott M. Fischer 	English Morningtide
22 	Reveillark 	Creature . Elemental 4/3 	4W 	Rare 	Jim Murray 	English Morningtide
23 	Shinewend 	Creature . Elemental 0/0 	1W 	Common 	Terese Nielsen 	English Morningtide
24 	Stonehewer Giant 	Creature . Giant Warrior 4/4 	3WW 	Rare 	Steve Prescott 	English Morningtide
25 	Stonybrook Schoolmaster 	Creature . Merfolk Wizard 1/2 	2W 	Common 	Quinton Hoover & Val Mayerik 	English Morningtide
26 	Swell of Courage 	Instant 	3WW 	Uncommon 	Jim Nelson 	English Morningtide
27 	Wandering Graybeard 	Creature . Giant Wizard 4/4 	3WW 	Uncommon 	Nils Hamm 	English Morningtide
28 	Weight of Conscience 	Enchantment . Aura 	1W 	Common 	Heather Hudson 	English Morningtide
29 	Declaration of Naught 	Enchantment 	UU 	Rare 	Rob Alexander 	English Morningtide
30 	Dewdrop Spy 	Creature . Faerie Rogue 2/2 	1UU 	Common 	Wayne England 	English Morningtide
31 	Disperse 	Instant 	1U 	Common 	Steve Ellis 	English Morningtide
32 	Distant Melody 	Sorcery 	3U 	Common 	Omar Rayyan 	English Morningtide
33 	Fencer Clique 	Creature . Faerie Soldier 3/2 	2UU 	Common 	William O'Connor 	English Morningtide
34 	Floodchaser 	Creature . Elemental 0/0 	5U 	Common 	Eric Fortune 	English Morningtide
35 	Grimoire Thief 	Creature . Merfolk Rogue 2/2 	UU 	Rare 	Randy Gallegos 	English Morningtide
36 	Ink Dissolver 	Creature . Merfolk Wizard 2/1 	1U 	Common 	Brandon Dorman 	English Morningtide
37 	Inspired Sprite 	Creature . Faerie Wizard 2/2 	3U 	Uncommon 	Michael Sutfin 	English Morningtide
38 	Knowledge Exploitation 	Tribal Sorcery . Rogue 	5UU 	Rare 	Darrell Riche 	English Morningtide
39 	Latchkey Faerie 	Creature . Faerie Rogue 3/1 	3U 	Common 	Warren Mahy 	English Morningtide
40 	Merrow Witsniper 	Creature . Merfolk Rogue 1/1 	U 	Common 	Steve Prescott 	English Morningtide
41 	Mind Spring 	Sorcery 	XUU 	Rare 	Mark Zug 	English Morningtide
42 	Mothdust Changeling 	Creature . Shapeshifter 1/1 	U 	Common 	Shelly Wan 	English Morningtide
43 	Negate 	Instant 	1U 	Common 	Jeremy Jarvis 	English Morningtide
44 	Nevermaker 	Creature . Elemental 2/3 	3U 	Uncommon 	Chuck Lukacs 	English Morningtide
45 	Notorious Throng 	Tribal Sorcery . Rogue 	3U 	Rare 	Thomas Denmark 	English Morningtide
46 	Research the Deep 	Sorcery 	1U 	Uncommon 	Eric Fortune 	English Morningtide
47 	Sage of Fables 	Creature . Merfolk Wizard 2/2 	2U 	Uncommon 	Shelly Wan 	English Morningtide
48 	Sage's Dousing 	Tribal Instant . Wizard 	2U 	Uncommon 	Richard Sardinha 	English Morningtide
