1 	Angel of Mercy 	Creature - Angel 3/3 	4W 	Uncommon 	Melissa A. Benson 	English Ninth Edition
2 	Angelic Blessing 	Sorcery 	2W 	Common 	Mark Zug 	English Ninth Edition
3 	Aven Cloudchaser 	Creature - Bird Soldier 2/2 	3W 	Common 	Justin Sweet 	English Ninth Edition
4 	Aven Flock 	Creature - Bird Soldier 2/3 	4W 	Common 	Greg & Tim Hildebrandt 	English Ninth Edition
5 	Ballista Squad 	Creature - Human Rebel 2/2 	3W 	Uncommon 	Matthew D. Wilson 	English Ninth Edition
6 	Blessed Orator 	Creature - Human Cleric 1/4 	3W 	Uncommon 	Terese Nielsen 	English Ninth Edition
7 	Blinding Angel 	Creature - Angel 2/4 	3WW 	Rare 	Todd Lockwood 	English Ninth Edition
8 	Blinking Spirit 	Creature - Spirit 2/2 	3W 	Rare 	L. A. Williams 	English Ninth Edition
9 	Chastise 	Instant 	3W 	Uncommon 	Carl Critchlow 	English Ninth Edition
10 	Circle of Protection: Black 	Enchantment 	1W 	Uncommon 	Christopher Rush 	English Ninth Edition
11 	Circle of Protection: Red 	Enchantment 	1W 	Uncommon 	Christopher Rush 	English Ninth Edition
12 	Crossbow Infantry 	Creature - Human Soldier 1/1 	1W 	Common 	James Bernardin 	English Ninth Edition
13 	Demystify 	Instant 	W 	Common 	Christopher Rush 	English Ninth Edition
14 	Foot Soldiers 	Creature - Human Soldier 2/4 	3W 	Common 	Kev Walker 	English Ninth Edition
15 	Gift of Estates 	Sorcery 	1W 	Uncommon 	Hugh Jamieson 	English Ninth Edition
16 	Glorious Anthem 	Enchantment 	1WW 	Rare 	Kev Walker 	English Ninth Edition
17 	Glory Seeker 	Creature - Human Soldier 2/2 	1W 	Common 	Dave Dorman 	English Ninth Edition
18 	Holy Day 	Instant 	W 	Common 	Pete Venters 	English Ninth Edition
19 	Holy Strength 	Enchantment - Aura 	W 	Common 	Scott M. Fischer 	English Ninth Edition
20 	Honor Guard 	Creature - Human Soldier 1/1 	W 	Common 	Mark Zug 	English Ninth Edition
21 	Infantry Veteran 	Creature - Human Soldier 1/1 	W 	Common 	Christopher Rush 	English Ninth Edition
22 	Inspirit 	Instant 	2W 	Uncommon 	Simon Bisley 	English Ninth Edition
23 	Ivory Mask 	Enchantment 	2WW 	Rare 	Glen Angus 	English Ninth Edition
24 	Kami of Old Stone 	Creature - Spirit 1/7 	3W 	Uncommon 	Stephen Tappin 	English Ninth Edition
25 	Leonin Skyhunter 	Creature - Cat Knight 2/2 	WW 	Uncommon 	Kev Walker 	English Ninth Edition
26 	Marble Titan 	Creature - Giant 3/3 	3W 	Rare 	Brom 	English Ninth Edition
27 	Master Decoy 	Creature - Human Soldier 1/2 	1W 	Common 	Ben Thompson 	English Ninth Edition
28 	Master Healer 	Creature - Human Cleric 1/4 	4W 	Rare 	Adam Rex 	English Ninth Edition
29 	Mending Hands 	Instant 	W 	Common 	Douglas Shuler 	English Ninth Edition
30 	Oracle's Attendants 	Creature - Human Soldier 1/5 	3W 	Rare 	Dany Orizio 	English Ninth Edition
31 	Pacifism 	Enchantment - Aura 	1W 	Common 	Robert Bliss 	English Ninth Edition
32 	Paladin en-Vec 	Creature - Human Knight 2/2 	1WW 	Rare 	Simon Bisley 	English Ninth Edition
33 	Peace of Mind 	Enchantment 	1W 	Uncommon 	Randy Elliott 	English Ninth Edition
34 	Pegasus Charger 	Creature - Pegasus 2/1 	2W 	Common 	Val Mayerik 	English Ninth Edition
35 	Reverse Damage 	Instant 	1WW 	Rare 	Thomas Gianni 	English Ninth Edition
36 	Righteousness 	Instant 	W 	Rare 	Mike Dringenberg 	English Ninth Edition
37 	Sacred Ground 	Enchantment 	1W 	Rare 	Gary Ruddell 	English Ninth Edition
38 	Sacred Nectar 	Sorcery 	1W 	Common 	Janine Johnston 	English Ninth Edition
39 	Samite Healer 	Creature - Human Cleric 1/1 	1W 	Common 	Anson Maddocks 	English Ninth Edition
40 	Sanctum Guardian 	Creature - Human Cleric 1/4 	1WW 	Uncommon 	Donato Giancola 	English Ninth Edition
41 	Savannah Lions 	Creature - Cat 2/1 	W 	Rare 	Carl Critchlow 	English Ninth Edition
42 	Seasoned Marshal 	Creature - Human Soldier 2/2 	2WW 	Uncommon 	Matthew D. Wilson 	English Ninth Edition
43 	Serra Angel 	Creature - Angel 4/4 	3WW 	Rare 	Greg Staples 	English Ninth Edition
44 	Serra's Blessing 	Enchantment 	1W 	Uncommon 	Rebecca Guay 	English Ninth Edition
45 	Skyhunter Prowler 	Creature - Cat Knight 1/3 	2W 	Common 	Vance Kovacs 	English Ninth Edition
46 	Soul Warden 	Creature - Human Cleric 1/1 	W 	Uncommon 	Randy Gallegos 	English Ninth Edition
47 	Spirit Link 	Enchantment - Aura 	W 	Uncommon 	Kev Walker 	English Ninth Edition
