1 	Aegis of Honor 	Enchantment 	W 	Rare 	Ron Spears 	English Odyssey
2 	Ancestral Tribute 	Sorcery 	5WW 	Rare 	Edward P. Beard, Jr. 	English Odyssey
3 	Angelic Wall 	Creature - Wall 0/4 	1W 	Common 	John Avon 	English Odyssey
4 	Animal Boneyard 	Enchant Land 	2W 	Uncommon 	Edward P. Beard, Jr. 	English Odyssey
5 	Auramancer 	Creature - Wizard 2/2 	2W 	Common 	Rebecca Guay 	English Odyssey
6 	Aven Archer 	Creature - Bird Soldier 2/2 	3WW 	Uncommon 	Mark Zug 	English Odyssey
7 	Aven Cloudchaser 	Creature - Bird Soldier 2/2 	3W 	Common 	Justin Sweet 	English Odyssey
8 	Aven Flock 	Creature - Bird Soldier 2/3 	4W 	Common 	Greg & Tim Hildebrandt 	English Odyssey
9 	Aven Shrine 	Enchantment 	1WW 	Rare 	Wayne England 	English Odyssey
10 	Balancing Act 	Sorcery 	2WW 	Rare 	Scott M. Fischer 	English Odyssey
11 	Beloved Chaplain 	Creature - Cleric 1/1 	1W 	Uncommon 	Darrell Riche 	English Odyssey
12 	Blessed Orator 	Creature - Cleric 1/4 	3W 	Uncommon 	Terese Nielsen 	English Odyssey
13 	Cantivore 	Creature - Lhurgoyf */* 	1WW 	Rare 	Daren Bader 	English Odyssey
14 	Cease-Fire 	Instant 	2W 	Common 	Darrell Riche 	English Odyssey
15 	Confessor 	Creature - Cleric 1/1 	W 	Common 	John Avon 	English Odyssey
16 	Dedicated Martyr 	Creature - Cleric 1/1 	W 	Common 	Dave Dorman 	English Odyssey
17 	Delaying Shield 	Enchantment 	3W 	Rare 	Luca Zontini 	English Odyssey
18 	Devoted Caretaker 	Creature - Cleric 1/2 	W 	Rare 	Clyde Caldwell 	English Odyssey
19 	Divine Sacrament 	Enchantment 	1WW 	Rare 	Ray Lago 	English Odyssey
20 	Dogged Hunter 	Creature - Nomad 1/1 	2W 	Rare 	rk post 	English Odyssey
21 	Earnest Fellowship 	Enchantment 	1W 	Rare 	Heather Hudson 	English Odyssey
22 	Embolden 	Instant 	2W 	Common 	Rebecca Guay 	English Odyssey
23 	Gallantry 	Instant 	1W 	Uncommon 	Mark Tedin 	English Odyssey
24 	Graceful Antelope 	Creature - Antelope 1/4 	2WW 	Rare 	Heather Hudson 	English Odyssey
25 	Hallowed Healer 	Creature - Cleric 1/1 	2W 	Common 	Ben Thompson 	English Odyssey
26 	Karmic Justice 	Enchantment 	2W 	Rare 	Ray Lago 	English Odyssey
27 	Kirtar's Desire 	Enchant Creature 	W 	Common 	Pete Venters 	English Odyssey
28 	Kirtar's Wrath 	Sorcery 	4WW 	Rare 	Kev Walker 	English Odyssey
