1 	Akroma's Blessing 	Instant 	2W 	Uncommon 	Adam Rex 	English Onslaught
2 	Akroma's Vengeance 	Sorcery 	4WW 	Rare 	Greg & Tim Hildebrandt 	English Onslaught
3 	Ancestor's Prophet 	Creature - Cleric Lord 1/5 	4W 	Rare 	Kev Walker 	English Onslaught
4 	Astral Slide 	Enchantment 	2W 	Uncommon 	Ron Spears 	English Onslaught
5 	Aura Extraction 	Instant 	1W 	Uncommon 	Luca Zontini 	English Onslaught
6 	Aurification 	Enchantment 	2WW 	Rare 	Gary Ruddell 	English Onslaught
7 	Aven Brigadier 	Creature - Bird Soldier 3/5 	3WWW 	Rare 	Greg Staples 	English Onslaught
8 	Aven Soulgazer 	Creature - Bird Cleric 3/3 	3WW 	Uncommon 	John Avon 	English Onslaught
9 	Battlefield Medic 	Creature - Cleric 1/1 	1W 	Common 	Matt Thompson 	English Onslaught
10 	Catapult Master 	Creature - Soldier Lord 3/3 	3WW 	Rare 	Terese Nielsen 	English Onslaught
11 	Catapult Squad 	Creature - Soldier 2/1 	1W 	Uncommon 	Brian Snõ 	English Onslaught
12 	Chain of Silence 	Instant 	1W 	Uncommon 	Randy Gallegos 	English Onslaught
13 	Circle of Solace 	Enchantment 	3W 	Rare 	Greg & Tim Hildebrandt 	English Onslaught
14 	Convalescent Care 	Enchantment 	1WW 	Rare 	Greg & Tim Hildebrandt 	English Onslaught
15 	Crowd Favorites 	Creature - Soldier 4/4 	6W 	Uncommon 	Roger Raupp 	English Onslaught
16 	Crown of Awe 	Enchant Creature 	1W 	Common 	Randy Elliott 	English Onslaught
17 	Crude Rampart 	Creature - Wall 4/5 	3W 	Uncommon 	Sam Wood 	English Onslaught
18 	Daru Cavalier 	Creature - Soldier 2/2 	3W 	Common 	Dany Orizio 	English Onslaught
19 	Daru Healer 	Creature - Cleric 1/2 	2W 	Common 	Dany Orizio 	English Onslaught
20 	Daru Lancer 	Creature - Soldier 3/4 	4WW 	Common 	Brian Snõ 	English Onslaught
21 	Daunting Defender 	Creature - Cleric 3/3 	4W 	Common 	Carl Critchlow 	English Onslaught
22 	Dawning Purist 	Creature - Cleric 2/2 	2W 	Uncommon 	Brian Snõ 	English Onslaught
23 	Defensive Maneuvers 	Instant 	3W 	Common 	Luca Zontini 	English Onslaught
24 	Demystify 	Instant 	W 	Common 	Christopher Rush 	English Onslaught
25 	Disciple of Grace 	Creature - Cleric 1/2 	1W 	Common 	Thomas M. Baxa 	English Onslaught
26 	Dive Bomber 	Creature - Bird Soldier 2/2 	3W 	Common 	Randy Gallegos 	English Onslaught
27 	Doubtless One 	Creature - Cleric Avatar */* 	3W 	Uncommon 	Justin Sweet 	English Onslaught
28 	Exalted Angel 	Creature - Angel 4/5 	4WW 	Rare 	Michael Sutfin 	English Onslaught
29 	Foothill Guide 	Creature - Cleric 1/1 	W 	Common 	Eric Peterson 	English Onslaught
30 	Glarecaster 	Creature - Bird Cleric 3/3 	4WW 	Rare 	Dan Frazier 	English Onslaught
31 	Glory Seeker 	Creature - Soldier 2/2 	1W 	Common 	Dave Dorman 	English Onslaught
32 	Grassland Crusader 	Creature - Cleric Soldier 2/4 	5W 	Common 	Mark Tedin 	English Onslaught
33 	Gravel Slinger 	Creature - Soldier 1/3 	3W 	Common 	Kev Walker 	English Onslaught
34 	Gustcloak Harrier 	Creature - Bird Soldier 2/2 	1WW 	Common 	Dan Frazier 	English Onslaught
35 	Gustcloak Runner 	Creature - Soldier 1/1 	W 	Common 	Glen Angus 	English Onslaught
36 	Gustcloak Savior 	Creature - Bird Soldier 3/4 	4W 	Rare 	Jim Nelson 	English Onslaught
37 	Gustcloak Sentinel 	Creature - Soldier 3/3 	2WW 	Uncommon 	Mark Zug 	English Onslaught
38 	Gustcloak Skirmisher 	Creature - Bird Soldier 2/3 	3W 	Uncommon 	Dan Frazier 	English Onslaught
39 	Harsh Mercy 	Sorcery 	2W 	Rare 	John Matson 	English Onslaught
40 	Improvised Armor 	Enchant Creature 	3W 	Uncommon 	Alan Pollack 	English Onslaught
41 	Inspirit 	Instant 	2W 	Uncommon 	Keith Garletts 	English Onslaught
42 	Ironfist Crusher 	Creature - Soldier 2/4 	4W 	Uncommon 	Iain McCaig 	English Onslaught
43 	Jareth, Leonine Titan 	Creature - Cat Giant Legend 4/7 	3WWW 	Rare 	Daren Bader 	English Onslaught
44 	Mobilization 	Enchantment 	2W 	Rare 	Carl Critchlow 	English Onslaught
45 	Nova Cleric 	Creature - Cleric 1/2 	W 	Uncommon 	Alan Pollack 	English Onslaught
46 	Oblation 	Instant 	2W 	Rare 	Doug Chaffee 	English Onslaught
