1 	Aven Riftwatcher 	Creature . Bird Rebel Soldier 2/3 	2W 	Common 	Don Hazeltine 	English Planar Chaos
2 	Benalish Commander 	Creature . Human Soldier Lord */* 	3W 	Rare 	Parente 	English Planar Chaos
3 	Crovax, Ascendant Hero 	Legendary Creature . Human Lord 4/4 	4WW 	Rare 	Pete Venters 	English Planar Chaos
4 	Dawn Charm 	Instant 	1W 	Common 	John Avon 	English Planar Chaos
5 	Dust Elemental 	Creature . Elemental 6/6 	2WW 	Rare 	rk post 	English Planar Chaos
6 	Ghost Tactician 	Creature . Spirit Spellshaper 2/5 	4W 	Common 	Zoltan Boros & Gabor Szikszai 	English Planar Chaos
7 	Heroes Remembered 	Sorcery 	6WWW 	Rare 	Michael Phillippi 	English Planar Chaos
8 	Magus of the Tabernacle 	Creature . Human Wizard 2/6 	3W 	Rare 	Randy Gallegos 	English Planar Chaos
9 	Mantle of Leadership 	Enchantment . Aura 	1W 	Uncommon 	Thomas M. Baxa 	English Planar Chaos
10 	Pallid Mycoderm 	Creature . Fungus 2/4 	3W 	Common 	Jim Nelson 	English Planar Chaos
11 	Poultice Sliver 	Creature . Sliver 2/2 	2W 	Common 	Randy Gallegos 	English Planar Chaos
12 	Rebuff the Wicked 	Instant 	W 	Uncommon 	Stephen Tappin 	English Planar Chaos
13 	Retether 	Sorcery 	3W 	Rare 	Dan Scott 	English Planar Chaos
14 	Riftmarked Knight 	Creature . Human Rebel Knight 2/2 	1WW 	Uncommon 	William O'Connor 	English Planar Chaos
15 	Saltblast 	Sorcery 	3WW 	Uncommon 	Parente 	English Planar Chaos
16 	Saltfield Recluse 	Creature . Human Rebel Cleric 1/2 	2W 	Common 	Brian Despain 	English Planar Chaos
17 	Serra's Boon 	Enchantment . Aura 	2W 	Uncommon 	Steven Belledin 	English Planar Chaos
18 	Shade of Trokair 	Creature . Shade 1/2 	3W 	Common 	William O'Connor 	English Planar Chaos
19 	Stonecloaker 	Creature . Gargoyle 3/2 	2W 	Uncommon 	Tomas Giorello 	English Planar Chaos
20 	Stormfront Riders 	Creature . Human Soldier 4/3 	4W 	Uncommon 	Wayne Reynolds 	English Planar Chaos
21 	Voidstone Gargoyle 	Creature . Gargoyle 3/3 	3WW 	Rare 	Terese Nielsen 	English Planar Chaos
22 	Whitemane Lion 	Creature . Cat 2/2 	1W 	Common 	Zoltan Boros & Gabor Szikszai 	English Planar Chaos
23 	Calciderm 	Creature . Beast 5/5 	2WW 	Uncommon 	Dave Kendall 	English Planar Chaos
24 	Malach of the Dawn 	Creature . Angel 2/4 	2WW 	Uncommon 	Steve Prescott 	English Planar Chaos
25 	Mana Tithe 	Instant 	W 	Common 	Martina Pilcerova 	English Planar Chaos
26 	Mesa Enchantress 	Creature . Human Druid 0/2 	1WW 	Rare 	Randy Gallegos 	English Planar Chaos
