1 	Aura Blast 	Instant 	1W 	Common 	Ron Walotsky 	English Planeshift
2 	Aurora Griffin 	Creature - Griffin 2/2 	3W 	Common 	Ciruelo 	English Planeshift
3 	Disciple of Kangee 	Creature - Wizard 2/2 	2W 	Common 	Wayne England 	English Planeshift
4 	Dominaria's Judgment 	Instant 	2W 	Rare 	John Avon 	English Planeshift
5 	Guard Dogs 	Creature - Hound 2/2 	3W 	Uncommon 	Mike Raabe 	English Planeshift
6 	Heroic Defiance 	Enchant Creature 	1W 	Common 	Terese Nielsen 	English Planeshift
7 	Hobble 	Enchant Creature 	2W 	Common 	Alan Pollack 	English Planeshift
8 	Honorable Scout 	Creature - Soldier 1/1 	W 	Common 	Mike Ploog 	English Planeshift
9 	Lashknife Barrier 	Enchantment 	2W 	Uncommon 	Paolo Parente 	English Planeshift
10 	March of Souls 	Sorcery 	4W 	Rare 	Marc Fishman 	English Planeshift
11 	Orim's Chant 	Instant 	W 	Rare 	Kev Walker 	English Planeshift
12 	Planeswalker's Mirth 	Enchantment 	2W 	Rare 	John Matson 	English Planeshift
13 	Pollen Remedy 	Instant 	W 	Common 	Ben Thompson 	English Planeshift
14 	Samite Elder 	Creature - Cleric 1/2 	2W 	Rare 	Terese Nielsen 	English Planeshift
15 	Samite Pilgrim 	Creature - Cleric 1/1 	1W 	Common 	D. J. Cleland-Hura 	English Planeshift
16 	Sunscape Battlemage 	Creature - Wizard 2/2 	2W 	Uncommon 	Tony Szczudlo 	English Planeshift
17 	Sunscape Familiar 	Creature - Wall 0/3 	1W 	Common 	Brian Despain 	English Planeshift
18 	Surprise Deployment 	Instant 	3W 	Uncommon 	Bradley Williams 	English Planeshift
19 	Voice of All 	Creature - Angel 2/2 	2WW 	Uncommon 	rk post 	English Planeshift
20 	Allied Strategies 	Sorcery 	4U 	Uncommon 	Paolo Parente 	English Planeshift
21 	Arctic Merfolk 	Creature - Merfolk 1/1 	1U 	Common 	Ron Spears 	English Planeshift
22 	Confound 	Instant 	1U 	Common 	Doug Chaffee 	English Planeshift
23 	Dralnu's Pet 	Creature - Shapeshifter 2/2 	1UU 	Rare 	Glen Angus 	English Planeshift
24 	Ertai's Trickery 	Instant 	U 	Uncommon 	Kev Walker 	English Planeshift
25 	Escape Routes 	Enchantment 	2U 	Common 	Marc Fishman 	English Planeshift
26 	Gainsay 	Instant 	1U 	Uncommon 	Roger Raupp 	English Planeshift
27 	Hunting Drake 	Creature - Drake 2/2 	4U 	Common 	Wayne England 	English Planeshift
28 	Planar Overlay 	Sorcery 	2U 	Rare 	Ron Walotsky 	English Planeshift
29 	Planeswalker's Mischief 	Enchantment 	2U 	Rare 	Pete Venters 	English Planeshift
30 	Rushing River 	Instant 	2U 	Common 	Don Hazeltine 	English Planeshift
31 	Sea Snidd 	Creature - Beast 3/3 	4U 	Common 	Chippy 	English Planeshift
32 	Shifting Sky 	Enchantment 	2U 	Uncommon 	Jerry Tiritilli 	English Planeshift
33 	Sisay's Ingenuity 	Enchant Creature 	U 	Common 	Paolo Parente 	English Planeshift
34 	Sleeping Potion 	Enchant Creature 	1U 	Common 	Daren Bader 	English Planeshift
35 	Stormscape Battlemage 	Creature - Wizard 2/2 	2U 	Uncommon 	Christopher Moeller 	English Planeshift
36 	Stormscape Familiar 	Creature - Bird 1/1 	1U 	Common 	Heather Hudson 	English Planeshift
37 	Sunken Hope 	Enchantment 	3UU 	Rare 	Greg Staples 	English Planeshift
38 	Waterspout Elemental 	Creature - Elemental 3/4 	3UU 	Rare 	Mark Romanoski 	English Planeshift
39 	Bog Down 	Sorcery 	2B 	Common 	Andrew Goldhawk 	English Planeshift
40 	Dark Suspicions 	Enchantment 	2BB 	Rare 	Matt Cavotta 	English Planeshift
41 	Death Bomb 	Instant 	3B 	Common 	Dan Frazier 	English Planeshift
42 	Diabolic Intent 	Sorcery 	1B 	Rare 	Dave Dorman 	English Planeshift
43 	Exotic Disease 	Sorcery 	4B 	Uncommon 	Kev Walker 	English Planeshift
44 	Lord of the Undead 	Creature - Lord 2/2 	1BB 	Rare 	Brom 	English Planeshift
45 	Maggot Carrier 	Creature - Zombie 1/1 	B 	Common 	Ron Spencer 	English Planeshift
46 	Morgue Toad 	Creature - Toad 2/2 	2B 	Common 	Franz Vohwinkel 	English Planeshift
47 	Nightscape Battlemage 	Creature - Wizard 2/2 	2B 	Uncommon 	Andrew Goldhawk 	English Planeshift
48 	Nightscape Familiar 	Creature - Zombie 1/1 	1B 	Common 	Jeff Easley 	English Planeshift
49 	Noxious Vapors 	Sorcery 	1BB 	Uncommon 	Ben Thompson 	English Planeshift
50 	Phyrexian Bloodstock 	Creature - Zombie 3/3 	4B 	Common 	Mark Tedin 	English Planeshift
51 	Phyrexian Scuta 	Creature - Zombie 3/3 	3B 	Rare 	Scott M. Fischer 	English Planeshift
52 	Planeswalker's Scorn 	Enchantment 	2B 	Rare 	Glen Angus 	English Planeshift
53 	Shriek of Dread 	Instant 	1B 	Common 	Nelson DeCastro 	English Planeshift
54 	Sinister Strength 	Enchant Creature 	1B 	Common 	Terese Nielsen 	English Planeshift
55 	Slay 	Instant 	2B 	Uncommon 	Ben Thompson 	English Planeshift
56 	Volcano Imp 	Creature - Imp 2/2 	3B 	Common 	Thomas M. Baxa 	English Planeshift
57 	Warped Devotion 	Enchantment 	2B 	Uncommon 	Orizio Daniele 	English Planeshift
58 	Caldera Kavu 	Creature - Kavu 2/2 	2R 	Common 	Arnie Swekel 	English Planeshift
59 	Deadapult 	Enchantment 	2R 	Rare 	Mark Brill 	English Planeshift
60 	Flametongue Kavu 	Creature - Kavu 4/2 	3R 	Uncommon 	Pete Venters 	English Planeshift
61 	Goblin Game 	Sorcery 	5RR 	Rare 	DiTerlizzi 	English Planeshift
62 	Implode 	Sorcery 	4R 	Uncommon 	Arnie Swekel 	English Planeshift
63 	Insolence 	Enchant Creature 	2R 	Common 	Carl Critchlow 	English Planeshift
