1 	Abolish 	Instant 	1WW 	Uncommon 	Kev Walker 	English Prophecy
2 	Aura Fracture 	Enchantment 	2W 	Common 	Rebecca Guay 	English Prophecy
3 	Avatar of Hope 	Creature - Avatar 4/9 	6WW 	Rare 	rk post 	English Prophecy
4 	Blessed Wind 	Sorcery 	7WW 	Rare 	Anthony S. Waters 	English Prophecy
5 	Celestial Convergence 	Enchantment 	2WW 	Rare 	Ray Lago 	English Prophecy
6 	Diving Griffin 	Creature - Griffin 2/2 	1WW 	Common 	John Howe 	English Prophecy
7 	Entangler 	Enchant Creature 	2WW 	Uncommon 	D. Alexander Gregory 	English Prophecy
8 	Excise 	Instant 	XW 	Common 	Joel Biske 	English Prophecy
9 	Flowering Field 	Enchant Land 	1W 	Uncommon 	Jeff Miracola 	English Prophecy
10 	Glittering Lion 	Creature - Cat 2/2 	2W 	Uncommon 	Don Hazeltine 	English Prophecy
11 	Glittering Lynx 	Creature - Cat 1/1 	W 	Common 	Dan Frazier 	English Prophecy
12 	Jeweled Spirit 	Creature - Spirit 3/3 	3WW 	Rare 	Christopher Moeller 	English Prophecy
13 	Mageta the Lion 	Creature - Spellshaper Legend 3/3 	3WW 	Rare 	Brom 	English Prophecy
14 	Mageta's Boon 	Enchant Creature 	1W 	Common 	Bradley Williams 	English Prophecy
15 	Mercenary Informer 	Creature - Rebel Mercenary 2/1 	2W 	Rare 	Nelson DeCastro 	English Prophecy
16 	Mine Bearer 	Creature - Soldier 1/1 	2W 	Common 	D. Alexander Gregory 	English Prophecy
17 	Mirror Strike 	Instant 	3W 	Uncommon 	Dave Dorman 	English Prophecy
18 	Reveille Squad 	Creature - Rebel 3/3 	2WW 	Uncommon 	Greg & Tim Hildebrandt 	English Prophecy
19 	Rhystic Circle 	Enchantment 	2WW 	Common 	Alan Pollack 	English Prophecy
20 	Rhystic Shield 	Instant 	1W 	Common 	Kev Walker 	English Prophecy
21 	Samite Sanctuary 	Enchantment 	2W 	Rare 	Ben Thompson 	English Prophecy
22 	Sheltering Prayers 	Enchantment 	W 	Rare 	Nelson DeCastro 	English Prophecy
23 	Shield Dancer 	Creature - Rebel 1/3 	2W 	Uncommon 	Mike Ploog 	English Prophecy
24 	Soul Charmer 	Creature - Rebel 2/2 	2W 	Common 	Glen Angus 	English Prophecy
25 	Sword Dancer 	Creature - Rebel 1/2 	1W 	Uncommon 	Roger Raupp 	English Prophecy
26 	Trenching Steed 	Creature - Rebel 2/3 	3W 	Common 	Greg & Tim Hildebrandt 	English Prophecy
27 	Troubled Healer 	Creature - Cleric 1/2 	2W 	Common 	Terese Nielsen 	English Prophecy
28 	Alexi, Zephyr Mage 	Creature - Spellshaper Legend 3/3 	3UU 	Rare 	Mark Zug 	English Prophecy
29 	Alexi's Cloak 	Enchant Creature 	1U 	Common 	Alan Rabinowitz 	English Prophecy
30 	Avatar of Will 	Creature - Avatar 5/6 	6UU 	Rare 	rk post 	English Prophecy
31 	Coastal Hornclaw 	Creature - Bird 3/3 	4U 	Common 	DiTerlizzi 	English Prophecy
32 	Denying Wind 	Sorcery 	7UU 	Rare 	Tony Szczudlo 	English Prophecy
33 	Excavation 	Enchantment 	1U 	Uncommon 	Terese Nielsen 	English Prophecy
34 	Foil 	Instant 	2UU 	Uncommon 	Bradley Williams 	English Prophecy
35 	Gulf Squid 	Creature - Beast 2/2 	3U 	Common 	Wayne England 	English Prophecy
36 	Hazy Homunculus 	Creature - Illusion 1/1 	1U 	Common 	Anthony S. Waters 	English Prophecy
37 	Heightened Awareness 	Enchantment 	3UU 	Rare 	Pete Venters 	English Prophecy
38 	Mana Vapors 	Sorcery 	1U 	Uncommon 	Mark Romanoski 	English Prophecy
39 	Overburden 	Enchantment 	1U 	Rare 	John Matson 	English Prophecy
40 	Psychic Theft 	Sorcery 	1U 	Rare 	Don Hazeltine 	English Prophecy
41 	Quicksilver Wall 	Creature - Wall 1/6 	2U 	Uncommon 	Matt Cavotta 	English Prophecy
42 	Rethink 	Instant 	2U 	Common 	Matt Cavotta 	English Prophecy
43 	Rhystic Deluge 	Enchantment 	2U 	Common 	Pete Venters 	English Prophecy
44 	Rhystic Scrying 	Sorcery 	2UU 	Uncommon 	Roger Raupp 	English Prophecy
