1 	Animate Dead 	Enchant Dead Creature 	1B 	Uncommon 	Anson Maddocks 	English Revised Edition
2 	Bad Moon 	Enchantment 	1B 	Rare 	Jesper Myrfors 	English Revised Edition
3 	Black Knight 	Summon Knight 2/2 	BB 	Uncommon 	Jeff A. Menges 	English Revised Edition
4 	Bog Wraith 	Summon Wraith 3/3 	3B 	Uncommon 	Jeff A. Menges 	English Revised Edition
5 	Contract from Below 	Sorcery 	B 	Rare 	Douglas Shuler 	English Revised Edition
6 	Cursed Land 	Enchant Land 	2BB 	Uncommon 	Jesper Myrfors 	English Revised Edition
7 	Dark Ritual 	Interrupt 	B 	Common 	Sandra Everingham 	English Revised Edition
8 	Darkpact 	Sorcery 	BBB 	Rare 	Quinton Hoover 	English Revised Edition
9 	Deathgrip 	Enchantment 	BB 	Uncommon 	Anson Maddocks 	English Revised Edition
10 	Deathlace 	Interrupt 	B 	Rare 	Sandra Everingham 	English Revised Edition
11 	Demonic Attorney 	Sorcery 	1BB 	Rare 	Daniel Gelon 	English Revised Edition
12 	Demonic Hordes 	Summon Demons 5/5 	3BBB 	Rare 	Jesper Myrfors 	English Revised Edition
13 	Demonic Tutor 	Sorcery 	1B 	Uncommon 	Douglas Shuler 	English Revised Edition
14 	Drain Life 	Sorcery 	X1B 	Common 	Douglas Shuler 	English Revised Edition
15 	Drudge Skeletons 	Summon Skeletons 1/1 	1B 	Common 	Sandra Everingham 	English Revised Edition
16 	El-Hajjâ	Summon El-Hajjâ1/1 	1BB 	Rare 	Dameon Willich 	English Revised Edition
17 	Erg Raiders 	Summon Raiders 2/3 	1B 	Common 	Dameon Willich 	English Revised Edition
18 	Evil Presence 	Enchant Land 	B 	Uncommon 	Sandra Everingham 	English Revised Edition
19 	Fear 	Enchant Creature 	BB 	Common 	Mark Poole 	English Revised Edition
20 	Frozen Shade 	Summon Shade 0/1 	2B 	Common 	Douglas Shuler 	English Revised Edition
21 	Gloom 	Enchantment 	2B 	Uncommon 	Dan Frazier 	English Revised Edition
22 	Howl from Beyond 	Instant 	XB 	Common 	Mark Poole 	English Revised Edition
23 	Hypnotic Specter 	Summon Specter 2/2 	1BB 	Uncommon 	Douglas Shuler 	English Revised Edition
24 	Lord of the Pit 	Summon Demon 7/7 	4BBB 	Rare 	Mark Tedin 	English Revised Edition
25 	Mind Twist 	Sorcery 	XB 	Rare 	Julie Baroh 	English Revised Edition
26 	Nether Shadow 	Summon Shadow 1/1 	BB 	Rare 	Christopher Rush 	English Revised Edition
27 	Nettling Imp 	Summon Imp 1/1 	2B 	Uncommon 	Quinton Hoover 	English Revised Edition
28 	Nightmare 	Summon Nightmare */* 	5B 	Rare 	Melissa Benson 	English Revised Edition
29 	Paralyze 	Enchant Creature 	B 	Common 	Anson Maddocks 	English Revised Edition
30 	Pestilence 	Enchantment 	2BB 	Common 	Jesper Myrfors 	English Revised Edition
31 	Plague Rats 	Summon Rats */* 	2B 	Common 	Anson Maddocks 	English Revised Edition
32 	Raise Dead 	Sorcery 	B 	Common 	Jeff A. Menges 	English Revised Edition
33 	Royal Assassin 	Summon Assassin 1/1 	1BB 	Rare 	Tom Wärstrand 	English Revised Edition
34 	Sacrifice 	Interrupt 	B 	Uncommon 	Dan Frazier 	English Revised Edition
35 	Scathe Zombies 	Summon Zombies 2/2 	2B 	Common 	Jesper Myrfors 	English Revised Edition
36 	Scavenging Ghoul 	Summon Ghoul 2/2 	3B 	Uncommon 	Jeff A. Menges 	English Revised Edition
37 	Sengir Vampire 	Summon Vampire 4/4 	3BB 	Uncommon 	Anson Maddocks 	English Revised Edition
38 	Simulacrum 	Instant 	1B 	Uncommon 	Mark Poole 	English Revised Edition
39 	Sorceress Queen 	Summon Sorceress 1/1 	1BB 	Rare 	Kaja Foglio 	English Revised Edition
40 	Terror 	Instant 	1B 	Common 	Ron Spencer 	English Revised Edition
41 	Unholy Strength 	Enchant Creature 	B 	Common 	Douglas Shuler 	English Revised Edition
42 	Wall of Bone 	Summon Wall 1/4 	2B 	Uncommon 	Anson Maddocks 	English Revised Edition
43 	Warp Artifact 	Enchant Artifact 	BB 	Rare 	Amy Weber 	English Revised Edition
44 	Weakness 	Enchant Creature 	B 	Common 	Douglas Shuler 	English Revised Edition
45 	Will-O'-The-Wisp 	Summon Will-O'-The-Wisp 0/1 	B 	Rare 	Jesper Myrfors 	English Revised Edition
46 	Zombie Master 	Summon Lord 2/3 	1BB 	Rare 	Jeff A. Menges 	English Revised Edition
47 	Air Elemental 	Summon Elemental 4/4 	3UU 	Uncommon 	Richard Thomas 	English Revised Edition
48 	Animate Artifact 	Enchant Artifact 	3U 	Uncommon 	Douglas Shuler 	English Revised Edition
49 	Blue Elemental Blast 	Interrupt 	U 	Common 	Richard Thomas 	English Revised Edition
50 	Braingeyser 	Sorcery 	XUU 	Rare 	Mark Tedin 	English Revised Edition
51 	Clone 	Summon Clone 0/0 	3U 	Uncommon 	Julie Baroh 	English Revised Edition
52 	Control Magic 	Enchant Creature 	2UU 	Uncommon 	Dameon Willich 	English Revised Edition
53 	Copy Artifact 	Enchantment 	1U 	Rare 	Amy Weber 	English Revised Edition
54 	Counterspell 	Interrupt 	UU 	Uncommon 	Mark Poole 	English Revised Edition
55 	Creature Bond 	Enchant Creature 	1U 	Common 	Anson Maddocks 	English Revised Edition
56 	Drain Power 	Sorcery 	UU 	Rare 	Douglas Shuler 	English Revised Edition
57 	Energy Flux 	Enchantment 	2U 	Uncommon 	Kaja Foglio 	English Revised Edition
58 	Feedback 	Enchant Enchantment 	2U 	Uncommon 	Quinton Hoover 	English Revised Edition
59 	Flight 	Enchant Creature 	U 	Common 	Anson Maddocks 	English Revised Edition
60 	Hurkyl's Recall 	Instant 	1U 	Rare 	Né Thomas 	English Revised Edition
61 	Island Fish Jasconius 	Summon Island Fish 6/8 	4UUU 	Rare 	Jesper Myrfors 	English Revised Edition
62 	Jump 	Instant 	U 	Common 	Mark Poole 	English Revised Edition
63 	Lifetap 	Enchantment 	UU 	Uncommon 	Anson Maddocks 	English Revised Edition
64 	Lord of Atlantis 	Summon Lord 2/2 	UU 	Rare 	Melissa Benson 	English Revised Edition
65 	Magical Hack 	Interrupt 	U 	Rare 	Julie Baroh 	English Revised Edition
66 	Mahamoti Djinn 	Summon Djinn 5/6 	4UU 	Rare 	Dan Frazier 	English Revised Edition
67 	Mana Short 	Instant 	2U 	Rare 	Dameon Willich 	English Revised Edition
68 	Merfolk of the Pearl Trident 	Summon Merfolk 1/1 	U 	Common 	Jeff A. Menges 	English Revised Edition
69 	Phantasmal Forces 	Summon Phantasm 4/1 	3U 	Uncommon 	Mark Poole 	English Revised Edition
70 	Phantasmal Terrain 	Enchant Land 	UU 	Common 	Dameon Willich 	English Revised Edition
71 	Phantom Monster 	Summon Phantasm 3/3 	3U 	Uncommon 	Jesper Myrfors 	English Revised Edition
72 	Pirate Ship 	Summon Ship 4/3 	4U 	Rare 	Tom Wärstrand 	English Revised Edition
