1 	Angelic Page 	Creature - Spirit 1/1 	1W 	Common 	Marc Fishman 	English Seventh Edition
2 	Ardent Militia 	Creature - Soldier 2/5 	4W 	Uncommon 	Paolo Parente 	English Seventh Edition
3 	Blessed Reversal 	Instant 	1W 	Rare 	Christopher Moeller 	English Seventh Edition
4 	Breath of Life 	Sorcery 	3W 	Uncommon 	Roger Raupp 	English Seventh Edition
5 	Castle 	Enchantment 	3W 	Uncommon 	Edward P. Beard, Jr. 	English Seventh Edition
6 	Circle of Protection: Black 	Enchantment 	1W 	Common 	Mark Romanoski 	English Seventh Edition
7 	Circle of Protection: Blue 	Enchantment 	1W 	Common 	Greg & Tim Hildebrandt 	English Seventh Edition
8 	Circle of Protection: Green 	Enchantment 	1W 	Common 	Alan Pollack 	English Seventh Edition
9 	Circle of Protection: Red 	Enchantment 	1W 	Common 	Gary Ruddell 	English Seventh Edition
10 	Circle of Protection: White 	Enchantment 	1W 	Common 	Darrell Riche 	English Seventh Edition
11 	Cloudchaser Eagle 	Creature - Bird 2/2 	3W 	Common 	Aaron Boyd 	English Seventh Edition
12 	Crossbow Infantry 	Creature - Soldier 1/1 	1W 	Common 	James Bernardin 	English Seventh Edition
13 	Disenchant 	Instant 	1W 	Common 	Andrew Goldhawk 	English Seventh Edition
14 	Eager Cadet 	Creature - Soldier 1/1 	W 	Common 	Greg & Tim Hildebrandt 	English Seventh Edition
15 	Elite Archers 	Creature - Soldier 3/3 	5W 	Rare 	Dan Frazier 	English Seventh Edition
16 	Gerrard's Wisdom 	Sorcery 	2WW 	Uncommon 	Donato Giancola 	English Seventh Edition
17 	Glorious Anthem 	Enchantment 	1WW 	Rare 	Terese Nielsen 	English Seventh Edition
18 	Healing Salve 	Instant 	W 	Common 	Greg & Tim Hildebrandt 	English Seventh Edition
19 	Heavy Ballista 	Creature - Soldier 2/3 	3W 	Uncommon 	Brian Snõ 	English Seventh Edition
20 	Holy Strength 	Enchant Creature 	W 	Common 	Scott M. Fischer 	English Seventh Edition
21 	Honor Guard 	Creature - Soldier 1/1 	W 	Common 	Mark Zug 	English Seventh Edition
22 	Intrepid Hero 	Creature - Soldier 1/1 	2W 	Rare 	Mike Ploog 	English Seventh Edition
23 	Kjeldoran Royal Guard 	Creature - Soldier 2/5 	3WW 	Rare 	Carl Critchlow 	English Seventh Edition
24 	Knight Errant 	Creature - Knight 2/2 	1W 	Common 	Matthew D. Wilson 	English Seventh Edition
25 	Knighthood 	Enchantment 	2W 	Uncommon 	Greg & Tim Hildebrandt 	English Seventh Edition
26 	Longbow Archer 	Creature - Soldier 2/2 	WW 	Uncommon 	Ray Lago 	English Seventh Edition
27 	Master Healer 	Creature - Cleric 1/4 	4W 	Rare 	Greg & Tim Hildebrandt 	English Seventh Edition
28 	Northern Paladin 	Creature - Knight 3/3 	2WW 	Rare 	Carl Critchlow 	English Seventh Edition
29 	Pacifism 	Enchant Creature 	1W 	Common 	Eric Peterson 	English Seventh Edition
30 	Pariah 	Enchant Creature 	2W 	Rare 	Scott M. Fischer 	English Seventh Edition
