1 	Bottomless Pit 	Enchantment 	1BB 	Uncommon 	Kev Walker 	English Stronghold
2 	Brush with Death 	Sorcery 	2B 	Common 	Stephen Daniele 	English Stronghold
3 	Cannibalize 	Sorcery 	1B 	Common 	Robert Bliss 	English Stronghold
4 	Corrupting Licid 	Summon Licid 2/2 	2B 	Uncommon 	Thomas M. Baxa 	English Stronghold
5 	Crovax the Cursed 	Summon Legend 0/0 	2BB 	Rare 	Pete Venters 	English Stronghold
6 	Dauthi Trapper 	Summon Minion 1/1 	2B 	Uncommon 	Thomas M. Baxa 	English Stronghold
7 	Death Stroke 	Sorcery 	BB 	Common 	Colin MacNeil 	English Stronghold
8 	Dungeon Shade 	Summon Spirit 1/1 	3B 	Common 	Jason Alexander Behnke 	English Stronghold
9 	Foul Imp 	Summon Imp 2/2 	BB 	Common 	Jim Nelson 	English Stronghold
10 	Grave Pact 	Enchantment 	1BBB 	Rare 	Scott Kirschner 	English Stronghold
11 	Lab Rats 	Sorcery 	B 	Common 	DiTerlizzi 	English Stronghold
12 	Megrim 	Enchantment 	2B 	Uncommon 	Donato Giancola 	English Stronghold
13 	Mind Peel 	Sorcery 	B 	Uncommon 	Adam Rex 	English Stronghold
14 	Mindwarper 	Summon Spirit 0/0 	2BB 	Rare 	Paolo Parente 	English Stronghold
15 	Morgue Thrull 	Summon Thrull 2/2 	2B 	Common 	Robert Bliss 	English Stronghold
16 	Mortuary 	Enchantment 	3B 	Rare 	Robert Bliss 	English Stronghold
17 	Rabid Rats 	Summon Rats 1/1 	1B 	Common 	Matthew Wilson 	English Stronghold
18 	Revenant 	Summon Spirit */* 	4B 	Rare 	Terese Nielsen 	English Stronghold
19 	Serpent Warrior 	Summon Soldier 3/3 	2B 	Common 	Ron Spencer 	English Stronghold
20 	Skeleton Scavengers 	Summon Skeletons 0/0 	2B 	Rare 	Brian Snõ 	English Stronghold
21 	Stronghold Assassin 	Summon Assassin 2/1 	1BB 	Rare 	Matthew Wilson 	English Stronghold
