1 	Abandon Hope 	Sorcery 	X1B 	Uncommon 	Alan Pollack 	English Tempest
2 	Bellowing Fiend 	Summon Spirit 3/3 	4B 	Rare 	Jim Nelson 	English Tempest
3 	Blood Pet 	Summon Thrull 1/1 	B 	Common 	Brom 	English Tempest
4 	Bounty Hunter 	Summon Minion 2/2 	2BB 	Rare 	Brian Snõ 	English Tempest
5 	Carrionette 	Summon Skeleton 1/1 	1B 	Rare 	Pete Venters 	English Tempest
6 	Clot Sliver 	Summon Sliver 1/1 	1B 	Common 	Jeff Laubenstein 	English Tempest
7 	Coercion 	Sorcery 	2B 	Common 	Pete Venters 	English Tempest
8 	Coffin Queen 	Summon Wizard 1/1 	2B 	Rare 	Kaja Foglio 	English Tempest
9 	Commander Greven il-Vec 	Summon Legend 7/5 	3BBB 	Rare 	Kev Walker 	English Tempest
10 	Corpse Dance 	Instant 	2B 	Rare 	Brian Snõ 	English Tempest
11 	Dark Banishing 	Instant 	2B 	Common 	John Matson 	English Tempest
12 	Dark Ritual 	Mana Source 	B 	Common 	Ken Meyer, Jr. 	English Tempest
13 	Darkling Stalker 	Summon Spirit 1/1 	3B 	Common 	Susan Van Camp 	English Tempest
14 	Dauthi Embrace 	Enchantment 	2B 	Uncommon 	Andrew Robinson 	English Tempest
15 	Dauthi Ghoul 	Summon Zombie 1/1 	1B 	Uncommon 	Tom Kyffin 	English Tempest
16 	Dauthi Horror 	Summon Beast 2/1 	1B 	Common 	Jeff Laubenstein 	English Tempest
17 	Dauthi Marauder 	Summon Minion 3/1 	2B 	Common 	Andrew Robinson 	English Tempest
18 	Dauthi Mercenary 	Summon Knight 2/1 	2B 	Uncommon 	Matthew Wilson 	English Tempest
19 	Dauthi Mindripper 	Summon Minion 2/1 	3B 	Uncommon 	L. A. Williams 	English Tempest
20 	Dauthi Slayer 	Summon Soldier 2/2 	BB 	Common 	Dermot Power 	English Tempest
21 	Death Pits of Rath 	Enchantment 	3BB 	Rare 	Joel Biske 	English Tempest
22 	Diabolic Edict 	Instant 	1B 	Common 	Ron Spencer 	English Tempest
23 	Disturbed Burial 	Sorcery 	1B 	Common 	Heather Hudson 	English Tempest
24 	Dread of Night 	Enchantment 	B 	Uncommon 	Richard Thomas 	English Tempest
25 	Dregs of Sorrow 	Sorcery 	X4B 	Rare 	Thomas Gianni 	English Tempest
26 	Endless Scream 	Enchant Creature 	XB 	Common 	Joel Biske 	English Tempest
27 	Enfeeblement 	Enchant Creature 	BB 	Common 	D. Alexander Gregory 	English Tempest
28 	Evincar's Justice 	Sorcery 	2BB 	Common 	Hannibal King 	English Tempest
29 	Extinction 	Sorcery 	4B 	Rare 	Una Fricker 	English Tempest
