1 	Amrou Scout 	Creature . Kithkin Rebel Scout 2/1 	1W 	Common 	Quinton Hoover 	English Time Spiral
2 	Amrou Seekers 	Creature . Kithkin Rebel 2/2 	2W 	Common 	Quinton Hoover 	English Time Spiral
3 	Angel's Grace 	Instant 	W 	Rare 	Mark Zug 	English Time Spiral
4 	Benalish Cavalry 	Creature . Human Knight 2/2 	1W 	Common 	Parente 	English Time Spiral
5 	Castle Raptors 	Creature . Bird Soldier 3/3 	4W 	Common 	Christopher Moeller 	English Time Spiral
6 	Cavalry Master 	Creature . Human Knight 3/3 	2WW 	Uncommon 	Thomas M. Baxa 	English Time Spiral
7 	Celestial Crusader 	Creature . Spirit 2/2 	2WW 	Uncommon 	Jim Murray 	English Time Spiral
8 	Children of Korlis 	Creature . Human Rebel Cleric 1/1 	W 	Common 	Quinton Hoover 	English Time Spiral
9 	Chronosavant 	Creature . Giant 5/5 	5W 	Rare 	Pete Venters 	English Time Spiral
10 	Cloudchaser Kestrel 	Creature . Bird 2/2 	1WW 	Common 	Daren Bader 	English Time Spiral
11 	D'Avenant Healer 	Creature . Human Cleric Archer 1/2 	1WW 	Common 	Michael Sutfin 	English Time Spiral
12 	Detainment Spell 	Enchantment . Aura 	W 	Common 	Darrell Riche 	English Time Spiral
13 	Divine Congregation 	Sorcery 	3W 	Common 	Jeremy Jarvis 	English Time Spiral
14 	Duskrider Peregrine 	Creature . Bird 3/3 	5W 	Uncommon 	Una Fricker 	English Time Spiral
15 	Errant Doomsayers 	Creature . Human Rebel 1/1 	1W 	Common 	Liz Danforth 	English Time Spiral
16 	Evangelize 	Sorcery 	4W 	Rare 	Randy Elliott 	English Time Spiral
17 	Flickering Spirit 	Creature . Spirit 2/2 	3W 	Common 	Alex Horley-Orlandelli 	English Time Spiral
18 	Foriysian Interceptor 	Creature . Human Soldier 0/5 	3W 	Common 	Anson Maddocks 	English Time Spiral
19 	Fortify 	Instant 	2W 	Common 	Christopher Moeller 	English Time Spiral
20 	Gaze of Justice 	Sorcery 	W 	Common 	John Avon 	English Time Spiral
21 	Griffin Guide 	Enchantment . Aura 	2W 	Uncommon 	Jim Nelson 	English Time Spiral
22 	Gustcloak Cavalier 	Creature . Human Knight 2/2 	3WW 	Uncommon 	Stuart Griffin 	English Time Spiral
23 	Icatian Crier 	Creature . Human Spellshaper 1/1 	2W 	Common 	Michael Phillippi 	English Time Spiral
24 	Ivory Giant 	Creature . Giant 3/4 	5WW 	Common 	Jeff Miracola 	English Time Spiral
25 	Jedit's Dragoons 	Creature . Cat Soldier 2/5 	5W 	Common 	John Matson 	English Time Spiral
26 	Knight of the Holy Nimbus 	Creature . Human Rebel Knight 2/2 	WW 	Uncommon 	Wayne England 	English Time Spiral
27 	Magus of the Disk 	Creature . Human Wizard 2/4 	2WW 	Rare 	Jeremy Jarvis 	English Time Spiral
28 	Mangara of Corondor 	Legendary Creature . Human Wizard 1/1 	1WW 	Rare 	Zoltan Boros & Gabor Szikszai 	English Time Spiral
