1 	Angel of Retribution 	Creature - Angel 5/5 	6W 	Rare 	rk post 	English Torment
2 	Aven Trooper 	Creature - Bird Soldier 1/1 	3W 	Common 	Greg Staples 	English Torment
3 	Cleansing Meditation 	Sorcery 	1WW 	Uncommon 	Ron Spears 	English Torment
4 	Equal Treatment 	Instant 	1W 	Uncommon 	Greg & Tim Hildebrandt 	English Torment
5 	Floating Shield 	Enchant Creature 	2W 	Common 	Keith Garletts 	English Torment
6 	Frantic Purification 	Instant 	2W 	Common 	Mark Brill 	English Torment
7 	Hypochondria 	Enchantment 	1W 	Uncommon 	Christopher Moeller 	English Torment
8 	Major Teroh 	Creature - Bird Soldier Legend 2/3 	3W 	Rare 	Daren Bader 	English Torment
9 	Militant Monk 	Creature - Cleric 2/1 	1WW 	Common 	Mark Brill 	English Torment
10 	Morningtide 	Sorcery 	1W 	Rare 	Tony Szczudlo 	English Torment
11 	Mystic Familiar 	Creature - Bird 1/2 	1W 	Common 	Edward P. Beard, Jr. 	English Torment
12 	Pay No Heed 	Instant 	W 	Common 	Adam Rex 	English Torment
13 	Possessed Nomad 	Creature - Nomad Horror 3/3 	2WW 	Rare 	Eric Peterson 	English Torment
14 	Reborn Hero 	Creature - Soldier 2/2 	2W 	Rare 	Gary Ruddell 	English Torment
15 	Spirit Flare 	Instant 	3W 	Common 	rk post 	English Torment
16 	Stern Judge 	Creature - Cleric 2/2 	2W 	Uncommon 	Matt Cavotta 	English Torment
17 	Strength of Isolation 	Enchant Creature 	1W 	Uncommon 	Jerry Tiritilli 	English Torment
18 	Teroh's Faithful 	Creature - Cleric 1/4 	3W 	Common 	Greg & Tim Hildebrandt 	English Torment
19 	Teroh's Vanguard 	Creature - Nomad 2/3 	3W 	Uncommon 	Greg & Tim Hildebrandt 	English Torment
20 	Transcendence 	Enchantment 	3WWW 	Rare 	Rebecca Guay 	English Torment
21 	Vengeful Dreams 	Instant 	WW 	Rare 	Mark Tedin 	English Torment
22 	Alter Reality 	Instant 	1U 	Rare 	Justin Sweet 	English Torment
23 	Ambassador Laquatus 	Creature - Merfolk Legend 1/3 	1UU 	Rare 	Eric Peterson 	English Torment
24 	Aquamoeba 	Creature - Beast 1/3 	1U 	Common 	Arnie Swekel 	English Torment
25 	Balshan Collaborator 	Creature - Bird Soldier 2/2 	3U 	Uncommon 	DiTerlizzi 	English Torment
26 	Breakthrough 	Sorcery 	XU 	Uncommon 	Gary Ruddell 	English Torment
27 	Cephalid Aristocrat 	Creature - Cephalid 3/3 	4U 	Common 	Rob Alexander 	English Torment
28 	Cephalid Illusionist 	Creature - Cephalid Wizard 1/1 	1U 	Uncommon 	Pete Venters 	English Torment
29 	Cephalid Sage 	Creature - Cephalid 2/3 	3U 	Uncommon 	Keith Garletts 	English Torment
30 	Cephalid Snitch 	Creature - Cephalid Wizard 1/1 	1U 	Common 	Jerry Tiritilli 	English Torment
31 	Cephalid Vandal 	Creature - Cephalid 1/1 	1U 	Rare 	Alex Horley-Orlandelli 	English Torment
32 	Churning Eddy 	Sorcery 	3U 	Common 	Thomas M. Baxa 	English Torment
33 	Circular Logic 	Instant 	2U 	Uncommon 	Anthony S. Waters 	English Torment
34 	Compulsion 	Enchantment 	1U 	Uncommon 	Christopher Moeller 	English Torment
35 	Coral Net 	Enchant Creature 	U 	Common 	Roger Raupp 	English Torment
36 	Deep Analysis 	Sorcery 	3U 	Common 	Daren Bader 	English Torment
37 	False Memories 	Instant 	1U 	Rare 	Ron Spencer 	English Torment
38 	Ghostly Wings 	Enchant Creature 	1U 	Common 	David Martin 	English Torment
39 	Hydromorph Guardian 	Creature - Guardian 2/2 	2U 	Common 	Glen Angus 	English Torment
40 	Hydromorph Gull 	Creature - Bird Guardian 3/3 	3UU 	Uncommon 	Arnie Swekel 	English Torment
41 	Liquify 	Instant 	2U 	Common 	Ron Spencer 	English Torment
42 	Llawan, Cephalid Empress 	Creature - Cephalid Legend 2/3 	3U 	Rare 	Mark Zug 	English Torment
43 	Obsessive Search 	Instant 	U 	Common 	Jim Nelson 	English Torment
44 	Plagiarize 	Instant 	3U 	Rare 	Ben Thompson 	English Torment
45 	Possessed Aven 	Creature - Bird Soldier Horror 3/3 	2UU 	Rare 	Scott M. Fischer 	English Torment
46 	Retraced Image 	Sorcery 	U 	Rare 	Greg Staples 	English Torment
