1 	Aku Djinn 	Summon Djinn 5/6 	3BB 	Rare 	Terese Nielsen 	English Visions
2 	Blanket of Night 	Enchantment 	1BB 	Uncommon 	Cliff Nielsen 	English Visions
3 	Brood of Cockroaches 	Summon Insects 1/1 	1B 	Uncommon 	G. Darrow and I. Rabarot 	English Visions
4 	Coercion 	Sorcery 	2B 	Common 	DiTerlizzi 	English Visions
5 	Crypt Rats 	Summon Rats 1/1 	2B 	Common 	Paul Lee 	English Visions
6 	Dark Privilege 	Enchant Creature 	1B 	Common 	Tom Kyffin 	English Visions
7 	Death Watch 	Enchant Creature 	B 	Common 	Brian Horton 	English Visions
8 	Desolation 	Enchantment 	1BB 	Uncommon 	George Pratt 	English Visions
9 	Fallen Askari 	Summon Knight 2/2 	1B 	Common 	Adrian Smith 	English Visions
10 	Forbidden Ritual 	Sorcery 	2BB 	Rare 	Christopher Rush 	English Visions
11 	Funeral Charm 	Instant 	B 	Common 	Greg Spalenka 	English Visions
12 	Infernal Harvest 	Sorcery 	1B 	Common 	Nathalie Hertz 	English Visions
13 	Kaervek's Spite 	Instant 	BBB 	Rare 	Bryan Talbot 	English Visions
14 	Necromancy 	Enchantment 	2B 	Uncommon 	Pete Venters 	English Visions
15 	Necrosavant 	Summon Necrosavant 5/5 	3BBB 	Rare 	John Coulthart 	English Visions
16 	Nekrataal 	Summon Nekrataal 2/1 	2BB 	Uncommon 	Adrian Smith 	English Visions
17 	Pillar Tombs of Aku 	Enchant World 	2BB 	Rare 	Terese Nielsen 	English Visions
18 	Python 	Summon Python 3/2 	1BB 	Common 	Steve White 	English Visions
19 	Suq'Ata Assassin 	Summon Assassin 1/1 	1BB 	Uncommon 	Gary Gianni 	English Visions
20 	Tar Pit Warrior 	Summon Cyclops 3/4 	2B 	Common 	George Pratt 	English Visions
21 	Urborg Mindsucker 	Summon Mindsucker 2/2 	2B 	Common 	Tony DiTerlizzi 	English Visions
22 	Vampiric Tutor 	Instant 	B 	Rare 	Gary Leach 	English Visions
23 	Vampirism 	Enchant Creature 	1B 	Uncommon 	Gary Leach 	English Visions
24 	Wake of Vultures 	Summon Vultures 3/1 	3B 	Common 	Jeff Miracola 	English Visions
25 	Wicked Reward 	Instant 	1B 	Common 	D. Alexander Gregory 	English Visions
26 	Betrayal 	Enchant Creature 	U 	Common 	Gary Leach 	English Visions
