1 	Abyssal Gatekeeper 	Summon Gatekeeper 1/1 	1B 	Common 	Mark Tedin 	English Weatherlight
2 	Agonizing Memories 	Sorcery 	2BB 	Uncommon 	Mike Dringenberg 	English Weatherlight
3 	Barrow Ghoul 	Summon Zombie 4/4 	1B 	Common 	Bryan Talbot 	English Weatherlight
4 	Bone Dancer 	Summon Zombie 2/2 	1BB 	Rare 	Scott Kirschner 	English Weatherlight
5 	Buried Alive 	Sorcery 	2B 	Uncommon 	Brian Horton 	English Weatherlight
6 	Circling Vultures 	Summon Birds 3/2 	B 	Uncommon 	Una Fricker 	English Weatherlight
7 	Coils of the Medusa 	Enchant Creature 	1B 	Common 	Darbury Stenderu 	English Weatherlight
8 	Doomsday 	Sorcery 	BBB 	Rare 	Adrian Smith 	English Weatherlight
9 	Fatal Blow 	Instant 	B 	Common 	George Pratt 	English Weatherlight
10 	Festering Evil 	Enchantment 	3BB 	Uncommon 	John Matson 	English Weatherlight
11 	Fledgling Djinn 	Summon Djinn 2/2 	1B 	Common 	Thomas Gianni 	English Weatherlight
12 	Gallowbraid 	Summon Legend 5/5 	3BB 	Rare 	Carl Critchlow 	English Weatherlight
13 	Haunting Misery 	Sorcery 	1BB 	Common 	Gary Leach 	English Weatherlight
14 	Hidden Horror 	Summon Undead 4/4 	1BB 	Uncommon 	Clint Langley 	English Weatherlight
15 	Infernal Tribute 	Enchantment 	BBB 	Rare 	Terese Nielsen 	English Weatherlight
16 	Mischievous Poltergeist 	Summon Ghost 1/1 	2B 	Uncommon 	DiTerlizzi 	English Weatherlight
17 	Morinfen 	Summon Legend 5/4 	3BB 	Rare 	Carl Critchlow 	English Weatherlight
18 	Necratog 	Summon Atog 1/2 	1BB 	Uncommon 	Bryan Talbot 	English Weatherlight
19 	Odylic Wraith 	Summon Undead 2/2 	3B 	Uncommon 	Ian Miller 	English Weatherlight
20 	Razortooth Rats 	Summon Rats 2/1 	2B 	Common 	Brian Horton 	English Weatherlight
21 	Shadow Rider 	Summon Knight 3/3 	2BB 	Common 	Pete Venters 	English Weatherlight
22 	Shattered Crypt 	Sorcery 	XBB 	Common 	Gary Leach 	English Weatherlight
23 	Spinning Darkness 	Instant 	4BB 	Common 	John Coulthart 	English Weatherlight
24 	Strands of Night 	Enchantment 	2BB 	Uncommon 	Patrick Kochakji 	English Weatherlight
25 	Tendrils of Despair 	Sorcery 	B 	Common 	John Coulthart 	English Weatherlight
26 	Urborg Justice 	Instant 	BB 	Rare 	Gary Leach 	English Weatherlight
27 	Urborg Stalker 	Summon Undead 2/4 	3B 	Rare 	Cliff Nielsen 	English Weatherlight
28 	Wave of Terror 	Enchantment 	2B 	Rare 	Adrian Smith 	English Weatherlight
29 	Zombie Scavengers 	Summon Zombies 3/1 	2B 	Common 	Patrick Kochakji 	English Weatherlight
