1 	Armament Master 	Creature - Kor Soldier 2/2 	WW 	Rare 	Steven Belledin 	English Zendikar
2 	Arrow Volley Trap 	Instant - Trap 	3WW 	Uncommon 	Steve Argyle 	English Zendikar
3 	Bold Defense 	Instant 	2W 	Common 	Scott Chou 	English Zendikar
4 	Brave the Elements 	Instant 	W 	Uncommon 	Goran Josic 	English Zendikar
5 	Caravan Hurda 	Creature - Giant 1/5 	4W 	Common 	Dave Kendall 	English Zendikar
6 	Celestial Mantle 	Enchantment - Aura 	3WWW 	Rare 	Steve Argyle 	English Zendikar
7 	Cliff Threader 	Creature - Kor Scout 2/1 	1W 	Common 	Paul Bonner 	English Zendikar
8 	Conqueror's Pledge 	Sorcery 	2WWW 	Rare 	Kev Walker 	English Zendikar
9 	Day of Judgment 	Sorcery 	2WW 	Rare 	Vincent Proce 	English Zendikar
10 	Devout Lightcaster 	Creature - Kor Cleric 2/2 	WWW 	Rare 	Shelly Wan 	English Zendikar
11 	Emeria Angel 	Creature - Angel 3/3 	2WW 	Rare 	Jim Murray 	English Zendikar
12 	Felidar Sovereign 	Creature - Cat Beast 4/6 	4WW 	Mythic Rare 	Zoltan Boros & Gabor Szikszai 	English Zendikar
13 	Iona, Shield of Emeria 	Legendary Creature - Angel 7/7 	6WWW 	Mythic Rare 	Jason Chan 	English Zendikar
14 	Journey to Nowhere 	Enchantment 	1W 	Common 	Warren Mahy 	English Zendikar
15 	Kabira Evangel 	Creature - Human Cleric Ally 2/3 	2W 	Rare 	Eric Deschamps 	English Zendikar
16 	Kazandu Blademaster 	Creature - Human Soldier Ally 1/1 	WW 	Uncommon 	Michael Komarck 	English Zendikar
17 	Kor Aeronaut 	Creature - Kor Soldier 2/2 	WW 	Uncommon 	Karl Kopinski 	English Zendikar
18 	Kor Cartographer 	Creature - Kor Scout 2/2 	3W 	Common 	Ryan Pancoast 	English Zendikar
19 	Kor Duelist 	Creature - Kor Soldier 1/1 	W 	Uncommon 	Izzy 	English Zendikar
20 	Kor Hookmaster 	Creature - Kor Soldier 2/2 	2W 	Common 	Wayne Reynolds 	English Zendikar
21 	Kor Outfitter 	Creature - Kor Soldier 2/2 	WW 	Common 	Kieran Yanner 	English Zendikar
22 	Kor Sanctifiers 	Creature - Kor Cleric 2/3 	2W 	Common 	Dan Scott 	English Zendikar
23 	Kor Skyfisher 	Creature - Kor Soldier 2/3 	1W 	Common 	Dan Scott 	English Zendikar
24 	Landbind Ritual 	Sorcery 	3WW 	Uncommon 	Steve Prescott 	English Zendikar
25 	Luminarch Ascension 	Enchantment 	1W 	Rare 	Michael Komarck 	English Zendikar
26 	Makindi Shieldmate 	Creature - Kor Soldier Ally 0/3 	2W 	Common 	Howard Lyon 	English Zendikar
27 	Narrow Escape 	Instant 	2W 	Common 	Karl Kopinski 	English Zendikar
28 	Nimbus Wings 	Enchantment - Aura 	1W 	Common 	Chris Rahn 	English Zendikar
29 	Noble Vestige 	Creature - Spirit 1/2 	2W 	Common 	Jason Chan 	English Zendikar
30 	Ondu Cleric 	Creature - Kor Cleric Ally 1/1 	1W 	Common 	Jim Murray 	English Zendikar
31 	Pillarfield Ox 	Creature - Ox 2/4 	3W 	Common 	Andrew Robinson 	English Zendikar
32 	Pitfall Trap 	Instant - Trap 	2W 	Uncommon 	Franz Vohwinkel 	English Zendikar
33 	Quest for the Holy Relic 	Enchantment 	W 	Uncommon 	Greg Staples 	English Zendikar
34 	Shepherd of the Lost 	Creature - Angel 3/3 	4W 	Uncommon 	Kekai Kotaki 	English Zendikar
35 	Shieldmate's Blessing 	Instant 	W 	Common 	Mike Bierek 	English Zendikar
36 	Steppe Lynx 	Creature - Cat 0/1 	W 	Common 	Nic Klein 	English Zendikar
37 	Sunspring Expedition 	Enchantment 	W 	Common 	Chris J. Anderson 	English Zendikar
